id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_130253_105adeaf,23E4246-4-PAT/58,23E424604202558PT,173.83,0.00
__export__.product_product_130391_9135135a,23E4246-12-PAT/46,23E424612202546PT,173.83,0.00
__export__.product_product_130399_69c04be7,23E4246-12-PAT/48,23E424612202548PT,173.83,0.00
__export__.product_product_129702_1cab2949,23E4246-13-PAT/48,23E424613202548PT,173.83,0.00
__export__.product_product_129710_5c3aa137,23E4246-13-PAT/50,23E424613202550PT,173.83,0.00
__export__.product_product_130440_ce477500,VE-ELA-STP-M,VE-ELA-STP-M,198.17,0.00
__export__.product_product_130443_b7c15ba1,VE-ELA-STP-L,VE-ELA-STP-L,198.17,0.00
__export__.product_product_130452_9952c713,VE-CLARISA-BGE-XL,VE-CLARISA-BGE-XL,182.52,0.00
__export__.product_product_130444_a5851ebb,VE-CLARISA-BGE-M,VE-CLARISA-BGE-M,182.52,0.00
__export__.product_product_130448_43170685,VE-CLARISA-BGE-L,VE-CLARISA-BGE-L,182.52,0.00
__export__.product_product_130456_b5cfbf21,VE-MICAELA-PI-XL,VE-MICAELA-PI-XL,182.52,0.00
__export__.product_product_130453_6da1a730,VE-MICAELA-PI-L,VE-MICAELA-PI-L,182.52,0.00
__export__.product_product_130465_608e2aa9,VE-MICAELA-AZ-XL,VE-MICAELA-AZ-XL,182.52,0.00
__export__.product_product_130461_bb0481ed,VE-MICAELA-AZ-L,VE-MICAELA-AZ-L,182.52,0.00
__export__.product_product_130457_aef48da8,VE-MICAELA-AZ-M,VE-MICAELA-AZ-M,182.52,0.00
__export__.product_product_130469_9c2a3e47,VE-WHIT-BGE-XL,VE-WHIT-BGE-XL,172.09,0.00
__export__.product_product_130466_e18591a3,VE-WHIT-BGE-L,VE-WHIT-BGE-L,172.09,0.00
__export__.product_product_130470_43a3e747,VE-CARSON-MUS-M,VE-CARSON-MUS-M,156.43,0.00
__export__.product_product_130473_7477e4f7,VE-CARSON-MUS-L,VE-CARSON-MUS-L,156.43,0.00
__export__.product_product_130477_a7875d72,VE-CARSON-VN-XL,VE-CARSON-VN-XL,156.43,0.00
__export__.product_product_130474_bdb38c1d,VE-CARSON-VN-L,VE-CARSON-VN-L,156.43,0.00
