product_tmpl_id,template_name,variant_count,duplicated_attributes,sample_variant_values
__import__.product_template_bw4624_647,Corbata BW4624/647,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_bw4624_648,Corbata BW4624/648,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_h0145_19,Corbata H0145/19,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_h0145_25,Corbata H0145/25,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_h0145_29,Corbata H0145/29,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_k178_14,Corbata K178/14,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_k178_16,Corbata K178/16,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_k178_4,Corbata K178/4,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_k178_8,Corbata K178/8,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_606,Corbata MF-10845/606,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_608,Corbata MF-10845/608,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_609,Corbata MF-10845/609,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_614,Corbata MF-10845/614,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_620,Corbata MF-10845/620,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_621,Corbata MF-10845/621,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_632,Corbata MF-10845/632,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_634,Corbata MF-10845/634,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_638,Corbata MF-10845/638,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_641,Corbata MF-10845/641,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_642,Corbata MF-10845/642,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_645,Corbata MF-10845/645,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_646,Corbata MF-10845/646,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf_10845_647,Corbata MF-10845/647,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf10294_18,Corbata MF10294/18,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf10294_19,Corbata MF10294/19,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
__import__.product_template_mf3870_1,Corbata MF3870/1,9,Ancho Corbatax2,"Ancho Corbata: 6 cm,Ancho Corbata: 6 cm"
__import__.product_template_mf3870_11,Corbata MF3870/11,9,Ancho Corbatax2,"Ancho Corbata: 6 cm,Ancho Corbata: 6 cm"
__import__.product_template_mf3870_12,Corbata MF3870/12,4,Ancho Corbatax2,"Ancho Corbata: 7 cm,Ancho Corbata: 7 cm"
