SKU,Nombre Odoo,Variant Values
16306-16.5-S1,Camisa 16306,Talla: 16.5
16306-17-S1,Camisa 16306,Talla: 17
16318-15.5-S1,Camisa 16318,Talla: 15.5
16318-16.5-S1,Camisa 16318,Talla: 16.5
16841-M,BRASILERA CHAMELA TABACO,Talla: M
17001-10BC-2/46,Terno 17001-10BC-2,Talla: 46
17001-10BC-2/48,Terno 17001-10BC-2,Talla: 48
17001-10BC-2/52,Terno 17001-10BC-2,Talla: 52
17001-10BC-2/54,Terno 17001-10BC-2,Talla: 54
17001-10BC-2/56,Terno 17001-10BC-2,Talla: 56
17001-10BC-2/58,Terno 17001-10BC-2,Talla: 58
17001-2BC-2/46,Terno 17001-2BC-2,Talla: 46
17001-2BC-2/48,Terno 17001-2BC-2,Talla: 48
17001-2BC-2/50,Terno 17001-2BC-2,Talla: 50
17001-2BC-2/54,Terno 17001-2BC-2,Talla: 54
17001-2BC-2/56,Terno 17001-2BC-2,Talla: 56
17001-3BC-2/46,Terno 17001-3BC-2,Talla: 46
17001-3BC-2/48,Terno 17001-3BC-2,Talla: 48
17001-3BC-2/50,Terno 17001-3BC-2,Talla: 50
17001-3BC-2/52,Terno 17001-3BC-2,Talla: 52
17001-3BC-2/54,Terno 17001-3BC-2,Talla: 54
17001-3BC-2/58,Terno 17001-3BC-2,Talla: 58
17001-4BC-2/48,Terno 17001-4BC-2,Talla: 48
17001-4BC-2/50,Terno 17001-4BC-2,Talla: 50
17001-4BC-2/52,Terno 17001-4BC-2,Talla: 52
17001-4BC-2/54,Terno 17001-4BC-2,Talla: 54
17001-7-BC-2/48,Terno 17001-7-BC-2,Talla: 48
17001-7-BC-2/50,Terno 17001-7-BC-2,Talla: 50
17001-7-BC-2/52,Terno 17001-7-BC-2,Talla: 52
17001-7-BC-2/54,Terno 17001-7-BC-2,Talla: 54
17001-7-BC-2/58,Terno 17001-7-BC-2,Talla: 58
17001-8-BC-2/48,Terno 17001-8-BC-2,Talla: 48
17001-8-BC-2/50,Terno 17001-8-BC-2,Talla: 50
17001-8-BC-2/52,Terno 17001-8-BC-2,Talla: 52
17001-8-BC-2/54,Terno 17001-8-BC-2,Talla: 54
17001-8-BC-2/58,Terno 17001-8-BC-2,Talla: 58
17601-14.5-S1 TEST,TEST,Talla: 14.5
17601-15-S1 TEST,TEST,Talla: 15
17601-15-S2 TEST,TEST,Talla: 15
17601-15.5-S1 TEST,TEST,Talla: 15.5
17601-15.5-S2 TEST,TEST,Talla: 15.5
17601-16-S1 TEST,TEST,Talla: 16
17601-16-S2 TEST,TEST,Talla: 16
17601-16.5-S1 TEST,TEST,Talla: 16.5
17601-16.5-S2 TEST,TEST,Talla: 16.5
17601-17-S1 TEST,TEST,Talla: 17
17601-17-S2 TEST,TEST,Talla: 17
17601-17.5-S1 TEST,TEST,Talla: 17.5
17601-17.5-S2 TEST,TEST,Talla: 17.5
17601BG-17.5-S1,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,Talla: 17.5
17601BG-19.5-S1,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,Talla: 19.5
17601BG-20-S1,H. CAMISA P/S BIG SIZE WHITE BRUNO CASSINI 32-33,Talla: 20
17605-14.5-S2,Camisa 17605,Talla: 14.5
17605-17.5-S1,Camisa 17605,Talla: 17.5
17605BG-19-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (17605bg),Talla: 19
17605BG-19.5-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (17605bg),Talla: 19.5
17605BG-20-S1,H. CAMISA P/S BIG SIZE BRUNO CASSINI BLACK 34-35 (17605bg),Talla: 20
17910/RU-34,BRASSIER CHAMELA (RUBI),Talla: 34
17911/NE-M,BRASILERA CHAMELA (NEGRO),Talla: M
17911/NE-S,BRASILERA CHAMELA (NEGRO),Talla: S
17931-M,PALODEROSA L BRASILERA CHAMELA,Talla: M
17CR003100-15,CAMISA M/L P/H 100 ALGODON WHITE,Talla: 15
17CR003100-16,CAMISA M/L P/H 100 ALGODON WHITE,Talla: 16
17CR003100-16.5,CAMISA M/L P/H 100 ALGODON WHITE,Talla: 16.5
17CR003100-17,CAMISA M/L P/H 100 ALGODON WHITE,Talla: 17
17CR003100-17.5,CAMISA M/L P/H 100 ALGODON WHITE,Talla: 17.5
17CR006100-15,CAMISA M/L P/H 100 ALGODON WHITE (17cr006100),Talla: 15
17CR006100-16,CAMISA M/L P/H 100 ALGODON WHITE (17cr006100),Talla: 16
17CR006100-16.5,CAMISA M/L P/H 100 ALGODON WHITE (17cr006100),Talla: 16.5
17CR006100-17,CAMISA M/L P/H 100 ALGODON WHITE (17cr006100),Talla: 17
17CR006100-17.5,CAMISA M/L P/H 100 ALGODON WHITE (17cr006100),Talla: 17.5
18078-382-BC-2/46,Terno 18078-382-BC-2,Talla: 46
18078-382-BC-2/48,Terno 18078-382-BC-2,Talla: 48
18078-382-BC-2/50,Terno 18078-382-BC-2,Talla: 50
18078-382-BC-2/52,Terno 18078-382-BC-2,Talla: 52
18078-382-BC-2/54,Terno 18078-382-BC-2,Talla: 54
18078-382-BC-2/58,Terno 18078-382-BC-2,Talla: 58
18078-386/46,Leva 18078-386,Talla: 46
18078-386/48,Leva 18078-386,Talla: 48
18078-386/50,Leva 18078-386,Talla: 50
18078-386/52,Leva 18078-386,Talla: 52
18078-386/54,Leva 18078-386,Talla: 54
18078-386/56,Leva 18078-386,Talla: 56
18078-386/60,Leva 18078-386,Talla: 60
18078-387/46,Leva 18078-387,Talla: 46
18078-387/48,Leva 18078-387,Talla: 48
18078-387/50,Leva 18078-387,Talla: 50
18078-387/52,Leva 18078-387,Talla: 52
18078-387/54,Leva 18078-387,Talla: 54
18078-387/56,Leva 18078-387,Talla: 56
18078-387/60,Leva 18078-387,Talla: 60
18102-445BC-2/46,Terno 18102-445BC-2,Talla: 46
18102-445BC-2/48,Terno 18102-445BC-2,Talla: 48
18102-445BC-2/50,Terno 18102-445BC-2,Talla: 50
18102-445BC-2/52,Terno 18102-445BC-2,Talla: 52
18102-445BC-2/54,Terno 18102-445BC-2,Talla: 54
18102-445BC-2/58,Terno 18102-445BC-2,Talla: 58
18102-449/46,Leva 18102-449,Talla: 46
18102-449/48,Leva 18102-449,Talla: 48
18102-449/50,Leva 18102-449,Talla: 50
18102-449/52,Leva 18102-449,Talla: 52
18102-449/54,Leva 18102-449,Talla: 54
18102-449/56,Leva 18102-449,Talla: 56
18102-449/60,Leva 18102-449,Talla: 60
187-22-16.5-S1,H. CAMISA P/S BRUNO CASSINI BLUE NAVY 32-33,Talla: 16.5
