sku,nombre_contifico,producto_madre_detectado,categoria_odoo_detectada,talla_detectada,manga_detectada,ancho_corbata_detectado,marca_detectada,color_detectado,barcode,precio,costo,stock_bpu,stock_tur,stock_bat,stock_total_contifico,estado,confidence,parser_rule
HD19152-4/52,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,52,,,Bruno Cassini,,HD1915204202552,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
HD19152-4/54,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,54,,,Bruno Cassini,,HD1915204202554,165.13,0.00,9.00,0.00,0.00,9.00,ok,0.95,blazer
HD19152-4/48,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,48,,,Bruno Cassini,,HD1915204202548,165.13,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
HD19152-23/60,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,60,,,Bruno Cassini,,HD1915223202560,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
HD19152-23/58,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,58,,,Bruno Cassini,,HD1915223202558,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
HD19152-23/56,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,56,,,Bruno Cassini,,HD1915223202556,165.13,0.00,6.00,0.00,0.00,6.00,ok,0.95,blazer
23E4246-13-PAT/56,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,Leva 23E4246-13-PAT,Ropa / Hombres / Levas,56,,,Bruno Cassini,,23E424613202556PT,173.83,0.00,8.00,0.00,0.00,8.00,ok,0.95,blazer
23E4246-16/50,H. LEVA P/CABALLERO BRUNO CASSINI GREY,Leva 23E4246-16,Ropa / Hombres / Levas,50,,,Bruno Cassini,Gris,23E424616202550,165.13,0.00,13.00,0.00,0.00,13.00,ok,0.95,blazer
23E4246-13-PAT/60,H. LEVA P/CABALLERO BRUNO CASSINI MARRON,Leva 23E4246-13-PAT,Ropa / Hombres / Levas,60,,,Bruno Cassini,,23E424613202560PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
HD19152-4/60,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,60,,,Bruno Cassini,,HD1915204202560,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
HD19152-4/58,H. LEVA P/CABALLERO BRUNO CASSINI CELESTE,Leva HD19152-4,Ropa / Hombres / Levas,58,,,Bruno Cassini,,HD1915204202558,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
