External ID,Name,Internal Reference,Barcode,available_in_pos,record_type,Variant Values
product_template_car_coach_bge,CARTERA COACH BEIGE,CAR-COACH-BGE,CAR-COACH-BGE,True,simple_product,
product_template_car_coach_kha,CARTERA COACH KHAKI,CAR-COACH-KHA,CAR-COACH-KHA,True,simple_product,
product_template_car_sm_bge,CARTERA STEVEN MADDEN BEIGE,CAR-SM-BGE,CAR-SM-BGE,True,simple_product,
product_template_car_guess_kha,CARTERA GUESS KHAKI,CAR-GUESS-KHA,CAR-GUESS-KHA,True,simple_product,
product_template_pan_celes,PAÑUELO CELESTE,PAN-CELES,PAN-CELES,True,simple_product,
product_template_pin_flor_var,PIN DE FLORES VARIOS COLORES,PIN-FLOR-VAR,PIN-FLOR-VAR,True,simple_product,
product_template_142828,CINTA ADHESIVA DOBLE FAST,142828,142828,False,simple_product,
product_template_142107,CINTA 3M NEGRA,142107,142107,False,simple_product,
product_template_142106,CINTA 110V - 3000K DE 10 MTS P/ROLLO,142106,142106,False,simple_product,
product_template_pul_ap_mtl,PULSERA METAL AAUDEMARS PIGUET,PUL-AP-MTL,PUL-AP-MTL,True,simple_product,
product_template_pul_mont_blanc_mtl,PULSERA MONT BLANC METAL,PUL-MONT BLANC-MTL,PUL-MONT BLANC-MTL,True,simple_product,
product_template_pul_mtl_var,PULSERA METAL MALLA VA MODELOS,PUL-MTL-VAR,PUL-MTL-VAR,True,simple_product,
product_template_pul_prada_trz,PULSERA PRADA TRENZA,PUL-PRADA-TRZ,PUL-PRADA-TRZ,True,simple_product,
product_template_pul_mont_blanc_trz,PULSERA MONT BLANC TRENZA,PUL-MONT BLANC-TRZ,PUL-MONT BLANC--TRZ,True,simple_product,
product_template_pul_mont_blanc_dtrz,PULSERA DOBLE TRENZA MONT BLANC,PUL-MONT BLANC-DTRZ,PUL-MONT BLANC-DTRZ,True,simple_product,
product_template_pul_rolex_cra,PULSERA CORREA ROLEX,PUL-ROLEX-CRA,PUL-ROLEX-CRA,True,simple_product,
product_template_gem_mont_blanc_pl,GEMELOS MONT BLANC PLATA,GEM-MONT BLANC-PL,GEM-MONT BLANC-PL,True,simple_product,
product_template_gem_mont_blanc_gold,GEMELOS MONT BLANC GOLD,GEM-MONT BLANC-GOLD,GEM-MONT BLANC-GOLD,True,simple_product,
