External ID,Internal Reference,match_failure_reason
product_template_suspender_men_cof,SUSPENDER-MEN/COF,No matching product.product in Odoo export
product_template_suspender_men_bg,SUSPENDER-MEN/BG,No matching product.product in Odoo export
product_template_gf_5002,GF-5002,No matching product.product in Odoo export
product_template_r82597,R82597,No matching product.product in Odoo export
product_template_r5408,R5408,No matching product.product in Odoo export
product_template_r86239,R86239,No matching product.product in Odoo export
product_template_r82524,R82524,No matching product.product in Odoo export
product_template_r9238,R9238,No matching product.product in Odoo export
product_template_fund_rock,FUND-ROCK,No matching product.product in Odoo export
product_template_caja_rok,CAJA-ROK,No matching product.product in Odoo export
product_template_cart_dior_22,CART-DIOR-22,No matching product.product in Odoo export
product_template_di_val_942_84_37,DI-VAL-942/84-37,No matching product.product in Odoo export
product_template_di_val_942_82_37,DI-VAL-942/82-37,No matching product.product in Odoo export
product_template_di_val_942_83_37,DI-VAL-942/83-37,No matching product.product in Odoo export
product_template_di_val_942_164_37,DI-VAL-942/164-37,No matching product.product in Odoo export
product_template_di_val_942_165_37,DI-VAL-942/165-37,No matching product.product in Odoo export
product_template_ct_lvs,CT-LVS,No matching product.product in Odoo export
product_template_cart_crz_2022_1,CART-CRZ-2022-1,No matching product.product in Odoo export
product_template_pin_a01_fuc,PIN-A01-FUC,No matching product.product in Odoo export
product_template_pan_palo_rosa,PAN-PALO-ROSA,No matching product.product in Odoo export
product_template_cart_oc_crz,CART-OC-CRZ,No matching product.product in Odoo export
product_template_cart_yis_01,CART-YIS-01,No matching product.product in Odoo export
product_template_cart_oc_baul,CART-OC-BAUL,No matching product.product in Odoo export
product_template_cart_oc_001,CART-OC-001,No matching product.product in Odoo export
product_template_caj_pinz,CAJ-PINZ,No matching product.product in Odoo export
product_template_fb_sam,FB-SAM,No matching product.product in Odoo export
product_template_jcb_1602_pi,JCB-1602-PI,No matching product.product in Odoo export
product_template_jcb_1602_ol,JCB-1602-OL,No matching product.product in Odoo export
product_template_jcb_1339_pi,JCB-1339-PI,No matching product.product in Odoo export
product_template_jcb_1339_mi,JCB-1339-MI,No matching product.product in Odoo export
product_template_3iw_17301_whd,3IW-17301-WHD,No matching product.product in Odoo export
product_template_3iw_17301_ruc,3IW-17301-RUC,No matching product.product in Odoo export
product_template_jcb_1582_ivy,JCB-1582-IVY,No matching product.product in Odoo export
product_template_jcb_1602_tp,JCB-1602-TP,No matching product.product in Odoo export
product_template_jcb_1582_mi,JCB-1582-MI,No matching product.product in Odoo export
product_template_jcb_1109_ol,JCB-1109-OL,No matching product.product in Odoo export
product_template_3iw_17802wgo_bkwtcog,3IW-17802WGO-BKWTCOG,No matching product.product in Odoo export
product_template_3iw_17201wgo_bktpmus,3IW-17201WGO-BKTPMUS,No matching product.product in Odoo export
product_template_jcb_1109_ca,JCB-1109-CA,No matching product.product in Odoo export
product_template_iw_33111_co,IW-33111-CO,No matching product.product in Odoo export
product_template_iw_33111_hu,IW-33111-HU,No matching product.product in Odoo export
product_template_iw_33111_ma,IW-33111-MA,No matching product.product in Odoo export
product_template_ma_0250_gdbk,MA-0250-GDBK,No matching product.product in Odoo export
product_template_ma_0250_gdbl,MA-0250-GDBL,No matching product.product in Odoo export
product_template_ma_0250_gdcm,MA-0250-GDCM,No matching product.product in Odoo export
product_template_ma_0250_gdw,MA-0250-GDW,No matching product.product in Odoo export
product_template_ma_0250_gdyl,MA-0250-GDYL,No matching product.product in Odoo export
product_template_ma_0250_gdlb,MA-0250-GDLB,No matching product.product in Odoo export
product_template_iw_3342hx2584_bg,IW-3342HX2584-BG,No matching product.product in Odoo export
product_template_iw_38200ago_bur,IW-38200AGO-BUR,No matching product.product in Odoo export
product_template_hw_3341_ba,HW-3341-BA,No matching product.product in Odoo export
product_template_iw_1929_gl,IW-1929-GL,No matching product.product in Odoo export
product_template_iw_2289d086_bu,IW-2289D086-BU,No matching product.product in Odoo export
product_template_iw_2289d086_dust,IW-2289D086-DUST,No matching product.product in Odoo export
product_template_iw_27009_cla,IW-27009-CLA,No matching product.product in Odoo export
product_template_iw_27009_la,IW-27009-LA,No matching product.product in Odoo export
product_template_iw_2289d086_nu,IW-2289D086-NU,No matching product.product in Odoo export
product_template_iw_27009_ltc,IW-27009-LTC,No matching product.product in Odoo export
product_template_jy_35,JY-35,No matching product.product in Odoo export
product_template_jy_24,JY-24,No matching product.product in Odoo export
product_template_jy_001,JY-001,No matching product.product in Odoo export
product_template_jy_002,JY-002,No matching product.product in Odoo export
product_template_an_2737,AN-2737,No matching product.product in Odoo export
product_template_pan_perla,PAN-PERLA,No matching product.product in Odoo export
product_template_correa_ca3_1119,CORREA-CA3-1119,No matching product.product in Odoo export
product_template_cart_mk,CART-MK,No matching product.product in Odoo export
product_template_torry_cart,TORRY-CART,No matching product.product in Odoo export
product_template_hello_cart,HELLO-CART,No matching product.product in Odoo export
product_template_coach_cart,COACH-CART,No matching product.product in Odoo export
product_template_onb_230,ONB-230,No matching product.product in Odoo export
product_template_onb_692,ONB-692,No matching product.product in Odoo export
product_template_br_1060,BR-1060,No matching product.product in Odoo export
product_template_br_1047,BR-1047,No matching product.product in Odoo export
product_template_br_1068,BR-1068,No matching product.product in Odoo export
product_template_br_971,BR-971,No matching product.product in Odoo export
product_template_jn_0473,JN-0473,No matching product.product in Odoo export
product_template_cn_4056,CN-4056,No matching product.product in Odoo export
product_template_cn_2512,CN-2512,No matching product.product in Odoo export
product_template_cn_4107,CN-4107,No matching product.product in Odoo export
product_template_cn_2502,CN-2502,No matching product.product in Odoo export
product_template_ab_3764,AB-3764,No matching product.product in Odoo export
product_template_vb_0600,VB-0600,No matching product.product in Odoo export
product_template_hn_8852,HN-8852,No matching product.product in Odoo export
product_template_hn_8864,HN-8864,No matching product.product in Odoo export
product_template_b_0531,B-0531,No matching product.product in Odoo export
product_template_b_10150,B-10150,No matching product.product in Odoo export
product_template_b_6487,B-6487,No matching product.product in Odoo export
product_template_b_1857,B-1857,No matching product.product in Odoo export
product_template_25b_1002,25B-1002,No matching product.product in Odoo export
product_template_fb_2066,FB-2066,No matching product.product in Odoo export
product_template_dna_020,DNA-020,No matching product.product in Odoo export
product_template_n_01885,N-01885,No matching product.product in Odoo export
product_template_n_0424,N-0424,No matching product.product in Odoo export
product_template_n_50026,N-50026,No matching product.product in Odoo export
product_template_n_36246,N-36246,No matching product.product in Odoo export
product_template_n_1004,N-1004,No matching product.product in Odoo export
product_template_fn_0356,FN-0356,No matching product.product in Odoo export
product_template_fn_0696,FN-0696,No matching product.product in Odoo export
product_template_fn_016,FN-016,No matching product.product in Odoo export
product_template_fn_0726,FN-0726,No matching product.product in Odoo export
product_template_on_6849,ON-6849,No matching product.product in Odoo export
product_template_on_6154,ON-6154,No matching product.product in Odoo export
product_template_mbr_5528,MBR-5528,No matching product.product in Odoo export
product_template_nb_3963,NB-3963,No matching product.product in Odoo export
product_template_spss_2059_ivnv,SPSS-2059-IVNV,No matching product.product in Odoo export
product_template_cartera_2635,CARTERA-2635,No matching product.product in Odoo export
