source_sku,source_id,source_name,attempted_attribute,attempted_value,reason
SL-018,,H. CORBATA P/CABALLEROS VINO PUNTOS ROMBO,Ancho Corbata,18 cm,Value not found in Odoo catalog
PAN-SL-033,,PAÑUELO SALMON,Talla,033,Value not found in Odoo catalog
PAN-SL-034,,PAÑUELO NEGRO PUNTOS BLANCOS,Talla,034,Value not found in Odoo catalog
SL-023,,H. CORBATA P/CABALLEROS NEGRA LABRADA PUNTO,Ancho Corbata,23 cm,Value not found in Odoo catalog
SL-024,,H. CORBATA P/CABALLEROS GRIS LABRADA PUNTOS,Ancho Corbata,24 cm,Value not found in Odoo catalog
SL-008,,H. CORBATA P/CABALLEROS LINEAS VERDES - CELESTES,Ancho Corbata,8 cm,Value not found in Odoo catalog
SL-009,,H. CORBATA P/CABALLEROS AZUL MARINO,Ancho Corbata,9 cm,Value not found in Odoo catalog
SL-010,,H. CORBATA P/CABALLEROS AMARILLA LABRADO,Ancho Corbata,10 cm,Value not found in Odoo catalog
SL-001,,H. CORBATA P/CABALLEROS DORADA DISEÑO,Ancho Corbata,1 cm,Value not found in Odoo catalog
SL-005,,H. CORBATA P/CABALLEROS DORADO OSCURO DISEÑO,Ancho Corbata,5 cm,Value not found in Odoo catalog
SL-002,,H. CORBATA P/CABALLEROS CELESTE DISEÑO,Ancho Corbata,2 cm,Value not found in Odoo catalog
SL-003,,H. CORBATA P/CABALLEROS NEGRA,Ancho Corbata,3 cm,Value not found in Odoo catalog
SL-004,,H. CORBATA P/CABALLEROS VINO,Ancho Corbata,4 cm,Value not found in Odoo catalog
CEBAT-7568,,BATERIA SELLADA 12V - 4AH,Talla,7568,Value not found in Odoo catalog
BRA-25,,BRAZALETE P/DAMAS VARIOS MODELOS,Talla,25,Value not found in Odoo catalog
AR-25,,ARETES P/DAMA V. MODELOS,Talla,25,Value not found in Odoo catalog
MUES-001,,MUESTRAS TEXTILES,Talla,001,Value not found in Odoo catalog
MEBL-02,,MESA BLANCA P/CAMISAS PEQUEÑA,Talla,02,Value not found in Odoo catalog
MEBL-01,,MESA BLANCA  P/CAMISAS GRANDE,Talla,01,Value not found in Odoo catalog
C/MONT BLANC-2,,H. CORREA P/CABALLERO MONT BLANC,Talla,2,Value not found in Odoo catalog
PUL-25,,PULSERA DE DAMAS,Talla,25,Value not found in Odoo catalog
Z-3125-PL-39,,M. ZAPATO P/DAMA PLATA DFV,Talla,39,Value not found in Odoo catalog
Z-3125-PL-37,,M. ZAPATO P/DAMA PLATA DFV,Talla,37,Value not found in Odoo catalog
Z-3130-PL-37,,M. ZAPATO P/DAMA PLATA DFV,Talla,37,Value not found in Odoo catalog
C/MONT BLANC-1,,H. CORREA P/CABALLERO MONT BLANC,Talla,1,Value not found in Odoo catalog
C/FERRAGAMO-1,,H. CORREA P/CABALLERO FERRAGAMO,Talla,1,Value not found in Odoo catalog
JEANS-431F309N/4,,Terno JEANS-431F309N,Talla,4,Value not found in Odoo catalog
GF-5002,,M. GAFAS P/DAMA VARIOS MODELOS,Talla,5002,Value not found in Odoo catalog
CIN-C-ML,,H. CINTURON P/CABALLERO ELASTIC MIEL,Talla,ML,Value not found in Odoo catalog
ARM-002,,ARMADOR PARA CAMISAS,Talla,002,Value not found in Odoo catalog
CAJ-001,,CAJA PARA ZAPATOS BRUNO CASSINI,Talla,001,Value not found in Odoo catalog
CART-DIOR-22,,M. CARTERA DIOR P/DAMA,Talla,22,Value not found in Odoo catalog
DI-VAL-942/84-37,,ZAPATOS P/DAMA DI VALENTINA NARANJA,Talla,37,Value not found in Odoo catalog
DI-VAL-942/82-37,,ZAPATOS P/DAMA DI VALENTINA NEGRO,Talla,37,Value not found in Odoo catalog
