External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_ve_ariana_wh,VESTIDO ARIANA WHITE,Goods,Ropa / Mujeres / Vestidos,138.17,0.00,True,True,True,True,Talla,"L,M",
product_template_ve_ariana_wh,VESTIDO ARIANA WHITE,Goods,Ropa / Mujeres / Vestidos,138.17,0.00,True,True,True,True,Color,Blanco,
product_template_bl_rive_wh,BLUSA RIVERA WHITE,Goods,Ropa / Mujeres / Blusas,55.57,0.00,True,True,True,True,Talla,"L,M,XL",
product_template_bl_rive_wh,BLUSA RIVERA WHITE,Goods,Ropa / Mujeres / Blusas,55.57,0.00,True,True,True,True,Color,Blanco,
product_template_bl_rive_cel,BLUSA RIVERA CELESTE,Goods,Ropa / Mujeres / Blusas,55.57,0.00,True,True,True,True,Talla,"L,M,XL",
product_template_bl_vale_mok,BLUSA VALENTINE MOKA,Goods,Ropa / Mujeres / Blusas,69.48,0.00,True,True,True,True,Talla,"L,M,S",
product_template_bl_butt_wh,BLUSA BUTTERFLY WHITE,Goods,Ropa / Mujeres / Blusas,55.57,0.00,True,True,True,True,Talla,"L,M,XL",
product_template_bl_butt_wh,BLUSA BUTTERFLY WHITE,Goods,Ropa / Mujeres / Blusas,55.57,0.00,True,True,True,True,Color,Blanco,
product_template_car_ch_nvy,CARTERA CAROLINA HERRERA NAVY,Goods,Sin Categoria,62.52,0.00,True,True,True,True,Color,Azul Marino,
product_template_car_guess_bl,CARTERA GUESS BLACKL LINE,Goods,Sin Categoria,62.52,0.00,True,True,True,True,Color,Negro,
product_template_car_guess_rd,CARTERA GUESS RED,Goods,Sin Categoria,62.52,0.00,True,True,True,True,Color,Rojo,
product_template_car_tous_cab,CARTERA TOUS CABULLA,Goods,Sin Categoria,86.87,0.00,True,True,True,True,,,
product_template_car_coach_gam,CARTERA COACH GAMUSA,Goods,Sin Categoria,70.35,0.00,True,True,True,True,,,
product_template_car_coach_ca_lab,CARTERA COACH LABRADA CAFÉ,Goods,Sin Categoria,74.70,0.00,True,True,True,True,,,
