odoo_ext_id,tmpl_id,tmpl_name,variant_values,reason
__export__.product_product_87165_dfa0173c,__import__.product_template_8502,Camisa 8502,"Talla: 14.5,Manga de Camisa: S2 - 34/35",Not present in Phase 2 or simple CSV
__export__.product_product_87176_63c9fe27,__import__.product_template_8502,Camisa 8502,"Talla: 17.5,Manga de Camisa: S1 - 32/33",Not present in Phase 2 or simple CSV
__export__.product_product_93338_7ea2b980,__import__.product_template_8831,Camisa 8831,Manga de Camisa: S1 - 32/33,Not present in Phase 2 or simple CSV
__export__.product_product_93339_fa2eaa97,__import__.product_template_8831,Camisa 8831,Manga de Camisa: S2 - 34/35,Not present in Phase 2 or simple CSV
__export__.product_product_86318_b48e909d,__import__.product_template_ch_24es296_4,Chaleco CH-24ES296-4,,Not present in Phase 2 or simple CSV
__export__.product_product_89192_f71a816a,__import__.product_template_bw4624_64,Corbata BW4624/64,,Not present in Phase 2 or simple CSV
__export__.product_product_96171_ea401d36,__import__.product_template_bw4624_98,Corbata BW4624/98,,Not present in Phase 2 or simple CSV
__export__.product_product_95055_7bb83f5c,__import__.product_template_kse_5022,Corbata KSE-5022,,Not present in Phase 2 or simple CSV
__export__.product_product_89127_b6d44881,__import__.product_template_mf8997_11,Corbata MF8997/11,,Not present in Phase 2 or simple CSV
__export__.product_product_95937_93536da0,__import__.product_template_s299_301,Corbata S299/301,,Not present in Phase 2 or simple CSV
__export__.product_product_95940_dac5c918,__import__.product_template_s299_303,Corbata S299/303,,Not present in Phase 2 or simple CSV
__export__.product_product_95915_b8e642cf,__import__.product_template_s299_322,Corbata S299/322,,Not present in Phase 2 or simple CSV
__export__.product_product_95863_149a18ac,__import__.product_template_xlh1639_11_black,Corbata XLH1639-11/BLACK,,Not present in Phase 2 or simple CSV
__export__.product_product_94692_7596b4f1,__import__.product_template_fund_neg,FUNDA PREMIUN NEGRA P/ACCESORIO,,Not present in Phase 2 or simple CSV
