DISTRIBUCIONES LORTIZ DIST LORTIZ DLORTIZ S.A.;;;;;;;;;;;;;;;;;;
Reporte de Saldos de Inventario por Bodega;;;;;;;;;;;;;;;;;;
Fecha de Corte: 2026-05-08;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código;Categoría;Producto;Unidad;Código de catálogo;PVP;Costo;Marca;Almacenes;Bodegas Principales;Bodegas Showroom;Oficina Adams;Bodega Mercaderia en Transito;Bodega 2;Bodega Web;BODEGAS BATAN;Bodegas Muestras;BODEGAS TEMPORALES LAVANDERIA;Total General
008-43/BOYS;ROPA DE NIÑOS;TERNOS BOYS SUITS;Unidad;;71,34;38;TERNO P/NIÑO;;;;;;;;;;;0,00
008-57BOYS/10;TERNO/NIÑO;TERNO P/NINO;Unidad;;71,34;32,3;TERNO P/NIÑO;;;;;;;;;;;0,00
008-BLACK-1-BG-1/60;TERNO / CABALLERO ;H. TERNO SMOKING XL P/CABALLERO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;278,17;40,6;CASSINI TERNOS - CABALLEROS;;;;;;;;1,00;;;1,00
008-BLACK-1-BG-1/62;TERNO / CABALLERO ;H. TERNO SMOKING XL P/CABALLERO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;278,17;40,6;CASSINI TERNOS - CABALLEROS;;;;;;;;1,00;;;1,00
008-BLACK-1-BG-1/64;TERNO / CABALLERO ;H. TERNO SMOKING XL P/CABALLERO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;278,17;40,6;CASSINI TERNOS - CABALLEROS;;;;;;;;;;;0,00
008-BLACK-1-BG-1/66;TERNO / CABALLERO ;H. TERNO SMOKING XL P/CABALLERO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;278,17;40,6;CASSINI TERNOS - CABALLEROS;3,00;;;;;;;;;;3,00
008-BLACK-1-BG-1/68;TERNO / CABALLERO ;H. TERNO SMOKING XL P/CABALLERO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;278,17;40,6;CASSINI TERNOS - CABALLEROS;1,00;;;;;;;;;;1,00
008-BLACK-1-BG-1/70;TERNO / CABALLERO ;H. TERNO SMOKING XL P/CABALLERO BRUNO CASSINI;Unidad;20221116-CASSINI-DONGYANG;278,17;40,6;CASSINI TERNOS - CABALLEROS;1,00;;;;;;;;;;1,00
008-BLACK-1/46;TERNO / CABALLERO ;H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK;Unidad;20260316-HALOTEX CASSINI;260,78;15,37;CASSINI TERNOS - CABALLEROS;2,00;3,00;;;;;;;;;5,00
008-BLACK-1/48;TERNO / CABALLERO ;H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK;Unidad;20260316-HALOTEX CASSINI;260,78;8,7;CASSINI TERNOS - CABALLEROS;3,00;5,00;;;;;;;;;8,00
008-BLACK-1/50;TERNO / CABALLERO ;H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK;Unidad;20260316-HALOTEX CASSINI;260,78;8,7;CASSINI TERNOS - CABALLEROS;4,00;6,00;;1,00;;;;;;;11,00
008-BLACK-1/52;TERNO / CABALLERO ;H. TERNO SMOKING P/CABALLERO BRUNO CASSINI/BLACK;Unidad;20260316-HALOTEX CASSINI;260,78;11,79;CASSINI TERNOS - CABALLEROS;5,00;7,00;;;;;;;;;12,00
