DISTRIBUCIONES LORTIZ DIST LORTIZ DLORTIZ S.A.;;;;;;;;;;;;;;;;;;
Reporte de Saldos de Inventario por Bodega;;;;;;;;;;;;;;;;;;
Fecha de Corte: 2026-05-08;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Código;Categoría;Producto;Unidad;Código de catálogo;PVP;Costo;Marca;Almacenes;Bodegas Principales;Bodegas Showroom;Oficina Adams;Bodega Mercaderia en Transito;Bodega 2;Bodega Web;BODEGAS BATAN;Bodegas Muestras;BODEGAS TEMPORALES LAVANDERIA;Total General
L21SWDC-1-15-S1;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 32-33 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-15-S2;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 34-35 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-15.5-S1;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 32-33 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-15.5-S2;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 34-35 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-16-S1;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 32-33 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-16-S2;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 34-35 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-16.5-S1;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 32-33 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-16.5-S2;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 34-35 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-17-S1;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 32-33 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-17-S2;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 34-35 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L21SWDC-1-17.5-S2;CAMISA;H. CAMISA P/CABALLERO D/P WHITE 34-35 BRUNO CASSINI;Unidad;20211025-CASSINI-CHINA;56,43;17,65;CASSINI CAMISAS CABALLEROS;;;;;;;;;;;0,00
L472179F37;BLUSA;BLUSA LILY WHITE;Unidad;ESTEFANIA-NOV-2018;36,43;18,48;;;;;;;;;;;;0,00
L472179F37/L;BLUSA;BLUSA LILY WHITE TALLA L;Unidad;;36,43;18,48;;;;;;;;;;;;0,00
L472179F37/M;BLUSA;BLUSA LILY WHITE TALLA M;Unidad;;36,43;18,48;;;;;;;;;;;;0,00
L496477G27;BLUSA;BLUSA LILY WHITE;Unidad;ESTEFANIA-NOV-2018;36,43;18,48;;;;;;;;;;;;0,00
L5A94A;BLUSA;BLUSA BLEACH LUNCH BOUNG;Unidad;;38,17;21,76;ROPA TRAIDA ESTEFANIA - JUNIO 2018;;;;;;;;;;;0,00
LABELLE-959252/S;CHAQUETA;CHAQUETA LABELLE /S;Unidad;ETAFASHION;91,22;49,9;;;;;;;;;;;;0,00
LAMANT-001;BISUTERIA;ARETES LAMANT;Unidad;20191101-ESTEFANIAORTIZ;21,65;15;;;;;;;;;;;;0,00
LAMP-20;ILUMINACIÓN;LAMPARA DE PARED LED 20X10X8 - 3000K;Unidad;;131,74;68,84;;;3,00;;;;;;;;;3,00
LAMP-30;ILUMINACIÓN;LAMPARA DE PARED LED 30X10X8 - 3000K;Unidad;;137,68;68,84;;;;;;;;;;;;0,00
LAX016;BISUTERIA;BISUTERIA COLLAR;Unidad;;22,22;13;BISUTERIA Y PERFUMES;;;;;;;;;;;0,00
LB-601-7W (RD);ILUMINACIÓN;ROUND, COB, ADJUSTABLE LIGHT 7W 3000-3500K;Unidad;;18;4,3;;16,00;78,00;;;;;;;;;94,00
LB-601-7W (SQ);ILUMINACIÓN;SQUARE,COB,ADJUSTABLE 7W 3000-3500K;Unidad;;11,88;4,3;;10,00;83,00;;;;15,00;;1,00;;;109,00
LB-601-7W/RD;ILUMINACIÓN;ROUND, COB, ADJUSTABLE LIGHT 7W 3000-3500K;Unidad;LED-2017-10;18;6,4;;7,00;;;;;;;;;;7,00
LBD3010-6X;ILUMINACIÓN;APLIQUE PARED LED EXT. CUAD. AJUSTABEL 2X3W;Unidad;;30,5;24,5;;;;;;;;;;;;0,00
LBF-12WPS;ILUMINACIÓN; FOCO LED 12W/3000K-PLASTIC SHELL/85V-265V/50/60HZ;Unidad;;3,8;1,41;;;;;;;;;;;;0,00
LBF-5WPS;ILUMINACIÓN;FOCO LED 5W/3000K-PLASTIC SHELL/85V-265V/50/60HZ;Unidad;;1,49;1,49;;;;;;;;;;;;0,00
LBF-7WPS;ILUMINACIÓN;FOCO LED 7W/3000K-PLASTIC SHELL/85V-265V/50/60HZ;Unidad;;1,69;1,69;;;;;;;;;;;;0,00
LBPC-A03-208R-DBU/L;CAMISA;H. CAMISA M/C LONG BEACH DUSTY BLUE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-208R-DBU/M;CAMISA;H. CAMISA M/C LONG BEACH DUSTY BLUE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-208R-DBU/S;CAMISA;H. CAMISA M/C LONG BEACH DUSTY BLUE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-208R-DBU/XL;CAMISA;H. CAMISA M/C LONG BEACH DUSTY BLUE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-208R-TG/L;CAMISA;H. CAMISA M/C LONG BEACH TANGERINE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-208R-TG/M;CAMISA;H. CAMISA M/C LONG BEACH TANGERINE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-208R-TG/S;CAMISA;H. CAMISA M/C LONG BEACH TANGERINE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-208R-TG/XL;CAMISA;H. CAMISA M/C LONG BEACH TANGERINE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-217S-GR/L;CAMISA;H. CAMISA M/C LONG BEACH GREY;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-217S-GR/M;CAMISA;H. CAMISA M/C LONG BEACH GREY;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-217S-GR/S;CAMISA;H. CAMISA M/C LONG BEACH GREY;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-217S-GR/XL;CAMISA;H. CAMISA M/C LONG BEACH GREY;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;2,00;;;;;;;;;;2,00
LBPC-A03-217S-RS/L;CAMISA;H. CAMISA M/C LONG BEACH ROSE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;2,00;;;;;;;;;;2,00
LBPC-A03-217S-RS/M;CAMISA;H. CAMISA M/C LONG BEACH ROSE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A03-217S-RS/S;CAMISA;H. CAMISA M/C LONG BEACH ROSE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;1,00;;;;;;;;;;1,00
LBPC-A03-217S-RS/XL;CAMISA;H. CAMISA M/C LONG BEACH ROSE;Unidad;20231213-PRESTIGE-PANAMA;41,65;14,71;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-A31-210S-RT/L;CAMISETA;H. POLO M/C LONG BEACH RUST;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-210S-RT/M;CAMISETA;H. POLO M/C LONG BEACH RUST;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-210S-RT/S;CAMISETA;H. POLO M/C LONG BEACH RUST;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-210S-RT/XL;CAMISETA;H. POLO M/C LONG BEACH RUST;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-210S-WH/L;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-210S-WH/M;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-210S-WH/S;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-210S-WH/XL;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-218S-BL/L;CAMISETA;H. POLO M/C LONG BEACH BLACK;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-218S-BL/M;CAMISETA;H. POLO M/C LONG BEACH BLACK;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-218S-BL/S;CAMISETA;H. POLO M/C LONG BEACH BLACK;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-218S-BL/XL;CAMISETA;H. POLO M/C LONG BEACH BLACK;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-218S-WH/L;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-218S-WH/M;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-218S-WH/S;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-218S-WH/XL;CAMISETA;H. POLO M/C LONG BEACH WHITE;Unidad;20231213-PRESTIGE-PANAMA;34,7;11,85;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-BL/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO BLACK;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;1,00;;;1,00
LBPC-A31-243S-BL/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO BLACK;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;1,00;;;2,00
LBPC-A31-243S-BL/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO BLACK;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-BL/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO BLACK;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-243S-CHRR/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHERRY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-CHRR/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHERRY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;1,00;;;;;;;;;1,00
LBPC-A31-243S-CHRR/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHERRY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-243S-CHRR/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHERRY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;1,00;;;;;;;;;2,00
LBPC-A31-243S-HCH/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-HCH/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;1,00;;;2,00
LBPC-A31-243S-HCH/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;1,00;;;1,00
LBPC-A31-243S-HCH/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;1,00;;;2,00
LBPC-A31-243S-LK/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LAKE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;5,00;;;;;;;;;5,00
LBPC-A31-243S-LK/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LAKE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-LK/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LAKE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;1,00;;;;;;;;;1,00
LBPC-A31-243S-LK/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LAKE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;3,00;;;;;;;;;;3,00
LBPC-A31-243S-NV/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-NV/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-243S-NV/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-NV/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-A31-243S-WH/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO WHITE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;2,00;;;;;;;;;;2,00
LBPC-A31-243S-WH/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO WHITE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-243S-WH/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO WHITE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-243S-WH/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO WHITE;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-254R-DKNV/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;1,00;;;2,00
LBPC-A31-254R-DKNV/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;1,00;;;1,00
LBPC-A31-254R-DKNV/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;1,00;;;2,00
LBPC-A31-254R-DKNV/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;;;;;;;;1,00;;;1,00
LBPC-A31-254R-LTSL/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;2,00;2,00;;;;;;;;;4,00
LBPC-A31-254R-LTSL/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;2,00;2,00;;;;;;;;;4,00
LBPC-A31-254R-LTSL/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;2,00;;;;;;;;;;2,00
LBPC-A31-254R-LTSL/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-254R-NGE/L;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;2,00;1,00;;;;;;;;;3,00
LBPC-A31-254R-NGE/M;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-A31-254R-NGE/S;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;1,00;;;;;;;;;2,00
LBPC-A31-254R-NGE/XL;CAMISETA;H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN;Unidad;20241008-PANAMA-PRES-MAG;34,7;10,88;LONG BEACH CAMISETAS;1,00;;;;;;;;;;1,00
LBPC-AMARILLO-AZ/L;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AMARILLO LOGO AZUL;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AMARILLO-AZ/M;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AMARILLO LOGO AZUL;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AMARILLO-AZ/S;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AMARILLO LOGO AZUL;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AMARILLO-AZ/XL;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AMARILLO LOGO AZUL;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-CE/L;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL LOGO CELESTE;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-CE/M;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL LOGO CELESTE;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-CE/S;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL LOGO CELESTE;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-CE/XL;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL LOGO CELESTE;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-AM/L;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-AM/M;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-AM/S;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-AM/XL;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-RJ/L;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-RJ/M;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-RJ/S;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-AZUL-MARINO-RJ/XL;CAMISETA;SUETER POLO P/H 65% POLIESTER 35% ALGODÓN AZUL MARINO LOGO AMARILLO;Unidad;LONG BEACH-LISSFASHION;16,43;6,7;LONG BEACH CAMISETAS;;;;;;;;;;;0,00
LBPC-B03-101S-BL/L;CAMISA;H. CAMISA P/H M/C BLACK LONG BEACH;Unidad;20241213-PRESTIGE;47,74;15,66;LONG BEACH CAMISAS;5,00;5,00;;;;;;1,00;;;11,00
LBPC-B03-101S-BL/M;CAMISA;H. CAMISA P/H M/C BLACK LONG BEACH;Unidad;20241213-PRESTIGE;47,74;15,95;LONG BEACH CAMISAS;3,00;2,00;;;;;;1,00;;;6,00
LBPC-B03-101S-BL/S;CAMISA;H. CAMISA P/H M/C BLACK LONG BEACH;Unidad;20241213-PRESTIGE;47,74;16,3;LONG BEACH CAMISAS;2,00;;;;;;;1,00;;;3,00
LBPC-B03-101S-BL/XL;CAMISA;H. CAMISA P/H M/C BLACK LONG BEACH;Unidad;20241213-PRESTIGE;47,74;15,6;LONG BEACH CAMISAS;2,00;2,00;;;;;;1,00;;;5,00
LBPC-B03-101S-KA/L;CAMISA;CAMISA P/H M/C KHAKI LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;3,00;;;;;;;;;;3,00
LBPC-B03-101S-KA/M;CAMISA;CAMISA P/H M/C KHAKI LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;2,00;;;;;;;;;;2,00
LBPC-B03-101S-KA/S;CAMISA;CAMISA P/H M/C KHAKI LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;1,00;;;;;;;;;;1,00
LBPC-B03-101S-KA/XL;CAMISA;CAMISA P/H M/C KHAKI LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;;;;;;;;;;;0,00
LBPC-B03-101S-NV/L;CAMISA;CAMISA P/H M/C NAVY LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;2,00;;;;;;;1,00;;;3,00
LBPC-B03-101S-NV/M;CAMISA;CAMISA P/H M/C NAVY LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;3,00;;;;;;;1,00;;;4,00
LBPC-B03-101S-NV/S;CAMISA;CAMISA P/H M/C NAVY LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;1,00;;;;;;;1,00;;;2,00
LBPC-B03-101S-NV/XL;CAMISA;CAMISA P/H M/C NAVY LONG BEACH;Unidad;20251212-PRESTIGE;47,74;17,01;LONG BEACH CAMISAS;;;;;;;;1,00;;;1,00
LBPC-B03-101S-WH/L;CAMISA;H. CAMISA P/H M/C WHITE LONG BEACH;Unidad;20241213-PRESTIGE;47,74;16,3;LONG BEACH CAMISAS;3,00;2,00;;;;;;1,00;;;6,00
