sku,nombre_contifico,codigo_barra,categoria_id,marca_nombre,pvp1,costo,stock_total_contifico,estado_contifico,motivo_exclusion
17PE042-100/16 S.2,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 34 -35,759084799392,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-100/16 S.1,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 32 -33,759084799309,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-100/15.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 32 -33,759084799293,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-100/15 S.1,CAMISA DE VESTIR P/H 100 ALGODON  WHITE 32 -33,759084799286,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/17.5 S.2,CAMISA DE VESTIR P/H 100 ALGODON GREY 33 -35,759084799248,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-060/17 S.2,CAMISA DE VESTIR P/H 100 ALGODON GREY 33 -35,759084799231,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/15 S.1,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 32-33,759084798920,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/15.5 S.1,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 32-33,759084798937,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/16 S.1,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 32-33,759084798944,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
17PE042-015/16 S.2,CAMISA DE VESTIR P/H 100 ALGODON CHARCOAL 34-35,759084799033,gDGe7K3Zfm2yen2x,PERRY ELLIS CAMISAS,52.09,0.00,0.00,A,stock_total_0
