id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_85558_e87ae37c,SET-CHRIS-WH-XL,SET-CHRIS-WH-XL,166.87,0.00
__export__.product_product_85556_4df9754d,SET-CHRIS-WH-M,SET-CHRIS-WH-M,166.87,0.00
__export__.product_product_85557_3fb5ef4a,SET-CHRIS-WH-L,SET-CHRIS-WH-L,166.87,0.00
__export__.product_product_85568_2d3262ef,ZP-0907-BRW/10,ZP-0907-BRW/10,152.09,0.00
__export__.product_product_85567_4c5d2ab2,ZP-0907-BRW/9.5,ZP-0907-BRW/9.5,152.09,0.00
__export__.product_product_85566_961e68bd,ZP-0907-BRW/9,ZP-0907-BRW/9,152.09,0.00
__export__.product_product_85565_aaa35838,ZP-0907-BRW/8.5,ZP-0907-BRW/8.5,152.09,0.00
__export__.product_product_85563_a4274f13,ZP-0907-BRW/7.5,ZP-0907-BRW/7.5,152.09,0.00
__export__.product_product_85562_4bde9fed,ZP-0907-BRW/7,ZP-0907-BRW/7,152.09,0.00
__export__.product_product_85561_fb91dbed,ZP-0907-BRW/6.5,ZP-0907-BRW/6.5,152.09,0.00
__export__.product_product_85579_82c5e316,VE-LUCERO-NVY/XL,VE-LUCERO-NVY/XL,138.17,0.00
__export__.product_product_85578_437f52a2,VE-LUCERO-NVY/L,VE-LUCERO-NVY/L,138.17,0.00
__export__.product_product_85582_79a158ce,VE-NINO-BGE/S,VE-NINO-BGE/S,108.61,0.00
__export__.product_product_85583_d3c11d2a,VE-NINO-BGE/M,VE-NINO-BGE/M,108.61,0.00
__export__.product_product_85584_a28faaa3,VE-NINO-BGE/L,VE-NINO-BGE/L,108.61,0.00
__export__.product_product_85585_1c86a332,VE-ARIANA-WH/M,VE-ARIANA-WH/M,138.17,0.00
__export__.product_product_85586_bdb85514,VE-ARIANA-WH/L,VE-ARIANA-WH/L,138.17,0.00
__export__.product_product_85589_9f6e0e4c,BL-RIVE-WH-/XL,BL-RIVE-WH-/XL,55.57,0.00
__export__.product_product_85587_0c4db56b,BL-RIVE-WH-/M,BL-RIVE-WH-/M,55.57,0.00
__export__.product_product_85588_610cfa82,BL-RIVE-WH-/L,BL-RIVE-WH-/L,55.57,0.00
__export__.product_product_85592_f67c3e34,BL-RIVE-CEL-/XL,BL-RIVE-CEL-/XL,55.57,0.00
__export__.product_product_85590_3cf70d31,BL-RIVE-CEL-/M,BL-RIVE-CEL-/M,55.57,0.00
__export__.product_product_85591_0346dff2,BL-RIVE-CEL-/L,BL-RIVE-CEL-/L,55.57,0.00
__export__.product_product_85593_7c786238,BL-VALE-MOK-S,BL-VALE-MOK-S,69.48,0.00
__export__.product_product_85594_044b3243,BL-VALE-MOK-M,BL-VALE-MOK-M,69.48,0.00
__export__.product_product_85595_7f3ed935,BL-VALE-MOK-L,BL-VALE-MOK-L,69.48,0.00
__export__.product_product_85598_fb3d6db0,BL-BUTT-WH/XL,BL-BUTT-WH/XL,55.57,0.00
__export__.product_product_85596_a7c01d6b,BL-BUTT-WH/M,BL-BUTT-WH/M,55.57,0.00
__export__.product_product_85597_61e58167,BL-BUTT-WH/L,BL-BUTT-WH/L,55.57,0.00
__export__.product_product_85606_20a5cb89,PT-23E312010-4/40,PT-23E312010-4/40,47.74,0.00
__export__.product_product_85609_390f7ad4,PT-24C29918-20/38,PT-24C29918-20/38,47.74,0.00
__export__.product_product_85612_7de3d9da,PT-23C25168-220/34,PT-23C25168-220/34,56.43,0.00
__export__.product_product_85617_6438d34c,25C0905-81BC-2/52,2509058125095234,260.78,0.00
__export__.product_product_85621_3a350edb,25C29375-56BC-2/46,2529375562594628,260.78,0.00
__export__.product_product_85622_d0f771b4,25C29375-56BC-2/48,2529375562594830,260.78,0.00
__export__.product_product_85623_7b092961,25C29375-56BC-2/50,2529375562595032,260.78,0.00
__export__.product_product_85624_3bc35067,25C29375-56BC-2/52,2529375562595234,260.78,0.00
__export__.product_product_85625_372214b7,25C29375-56BC-2/54,2529375562595436,260.78,0.00
__export__.product_product_85634_ae652c49,CH-25B231291-1/58,252312911C125958,43.39,0.00
__export__.product_product_85633_481bf7c5,CH-25B231291-1/56,252312911C125956,43.39,0.00
__export__.product_product_85637_c60596bc,CH-25C0905-101/50,250905101C1250950,43.39,0.00
__export__.product_product_85620_eba3da50,25C0905-81BC-2/58,2509058125095840,260.78,0.00
__export__.product_product_85626_054b8125,25C29375-56BC-2/56,2529375562595638,260.78,0.00
__export__.product_product_85627_8e7323ae,25C29375-56BC-2/58,2529375562595840,260.78,0.00
__export__.product_product_85643_dc86722b,25C0905-101BC-2/48,25090510125094830,260.78,0.00
__export__.product_product_85644_57afd112,25C0905-101BC-2/50,25090510125095032,260.78,0.00
__export__.product_product_85645_29e203ea,25C0905-101BC-2/52,25090510125095234,260.78,0.00
__export__.product_product_85646_f00fb47e,25C0905-101BC-2/54,25090510125095436,260.78,0.00
__export__.product_product_85647_3e3a312b,25C0905-101BC-2/56,25090510125095638,260.78,0.00
__export__.product_product_85648_f60a94ea,25C0905-101BC-2/58,25090510125095840,260.78,0.00
__export__.product_product_85635_fe063aca,CH-25C0905-101/46,250905101C1250946,43.39,0.00
__export__.product_product_85650_49e0c49e,CH-25C35289-93/48,253528993C125948,43.39,0.00
__export__.product_product_85662_83dc2430,CH-25C29375-56/58,252937556C125958,43.39,0.00
__export__.product_product_85649_8de01c53,CH-25C35289-93/46,253528993C125946,43.39,0.00
__export__.product_product_85660_e5e14762,CH-25C29375-56/54,252937556C125954,43.39,0.00
__export__.product_product_85659_b7701989,CH-25C29375-56/52,252937556C125952,43.39,0.00
__export__.product_product_85661_8b086c0e,CH-25C29375-56/56,252937556C125956,43.39,0.00
__export__.product_product_85667_e1d6f28f,25B231291-1BC-2/54,2523129112595436,260.78,0.00
__export__.product_product_85668_3cbbc5cb,25B231291-1BC-2/56,2523129112595638,260.78,0.00
__export__.product_product_85629_9598f9bd,CH-25B231291-1/48,252312911C125948,43.39,0.00
__export__.product_product_85669_43a5e9b5,25B231291-1BC-2/58,2523129112595840,260.78,0.00
__export__.product_product_85654_d78baae5,CH-25C35289-93/56,253528993C125956,43.39,0.00
__export__.product_product_85653_9cdf878a,CH-25C35289-93/54,253528993C125954,43.39,0.00
__export__.product_product_85614_ef6e2013,25C0905-81BC-2/46,2509058125094628,260.78,0.00
__export__.product_product_85615_afe39d3b,25C0905-81BC-2/48,2509058125094830,260.78,0.00
__export__.product_product_85658_ba9ad738,CH-25C29375-56/50,252937556C125950,43.39,0.00
__export__.product_product_85652_69e3e4d4,CH-25C35289-93/52,253528993C125952,43.39,0.00
__export__.product_product_85651_27ce7e27,CH-25C35289-93/50,253528993C125950,43.39,0.00
__export__.product_product_85657_f187a155,CH-25C29375-56/48,252937556C125948,43.39,0.00
__export__.product_product_85638_a8e3f5f0,CH-25C0905-101/52,250905101C1250952,43.39,0.00
__export__.product_product_85639_ac31823a,CH-25C0905-101/54,250905101C1250954,43.39,0.00
__export__.product_product_85616_99063662,25C0905-81BC-2/50,2509058125095032,260.78,0.00
__export__.product_product_85663_053dc02f,25B231291-1BC-2/46,2523129112594628,260.78,0.00
__export__.product_product_85665_f60cbfef,25B231291-1BC-2/50,2523129112595032,260.78,0.00
__export__.product_product_85642_54795573,25C0905-101BC-2/46,25090510125094628,260.78,0.00
__export__.product_product_85666_8edbc899,25B231291-1BC-2/52,2523129112595234,260.78,0.00
__export__.product_product_85676_af70fbaa,25C35289-93BC-2/58,2535289932595840,260.78,0.00
__export__.product_product_85619_508c9a68,25C0905-81BC-2/56,2509058125095638,260.78,0.00
__export__.product_product_85618_179e2718,25C0905-81BC-2/54,2509058125095436,260.78,0.00
__export__.product_product_85655_2ec1ea46,CH-25C35289-93/58,253528993C125958,43.39,0.00
__export__.product_product_85641_301bdc96,CH-25C0905-101/58,250905101C1250958,43.39,0.00
__export__.product_product_85664_cfdd15b6,25B231291-1BC-2/48,2523129112594830,260.78,0.00
__export__.product_product_85640_af280ca8,CH-25C0905-101/56,250905101C1250956,43.39,0.00
__export__.product_product_85656_0b909fb4,CH-25C29375-56/46,252937556C125946,43.39,0.00
__export__.product_product_85631_c37e32ae,CH-25B231291-1/52,252312911C125952,43.39,0.00
__export__.product_product_85636_55a6e19e,CH-25C0905-101/48,250905101C1250948,43.39,0.00
__export__.product_product_85628_509a517d,CH-25B231291-1/46,252312911C125946,43.39,0.00
__export__.product_product_85630_f5e10d74,CH-25B231291-1/50,252312911C125950,43.39,0.00
__export__.product_product_85632_8c0f4a49,CH-25B231291-1/54,252312911C125954,43.39,0.00
__export__.product_product_85683_fdfcd1f0,25E27112-6BC-2/58,2527112625095840,260.78,0.00
__export__.product_product_85670_e332e944,25C35289-93BC-2/46,2535289932594628,260.78,0.00
__export__.product_product_85671_9ab5cbd7,25C35289-93BC-2/48,2535289932594830,260.78,0.00
__export__.product_product_85672_6c4ed647,25C35289-93BC-2/50,2535289932595032,260.78,0.00
__export__.product_product_85673_7e37b3c9,25C35289-93BC-2/52,2535289932595234,260.78,0.00
__export__.product_product_85674_037715ee,25C35289-93BC-2/54,2535289932595436,260.78,0.00
__export__.product_product_85679_3c41bf32,25E27112-6BC-2/50,2527112625095032,260.78,0.00
__export__.product_product_85678_42aec9db,25E27112-6BC-2/48,2527112625094830,260.78,0.00
__export__.product_product_85675_91686eda,25C35289-93BC-2/56,2535289932595638,260.78,0.00
__export__.product_product_85677_2e91b2c8,25E27112-6BC-2/46,2527112625094628,260.78,0.00
__export__.product_product_85680_a235f05d,25E27112-6BC-2/52,2527112625095234,260.78,0.00
__export__.product_product_85682_66440ae8,25E27112-6BC-2/56,2527112625095638,260.78,0.00
__export__.product_product_85681_98dc9d7f,25E27112-6BC-2/54,2527112625095436,260.78,0.00
__export__.product_product_85684_560b122c,SH-NAP-WH-BG/XS,SHNAPWHBG/OXS,47.74,0.00
__export__.product_product_85685_79bbb2b6,SH-NAP-WH-BG/S,SHNAPWHBG/OS,47.74,0.00
__export__.product_product_85686_bc7e3998,SH-NAP-WH-BG/M,SHNAPWHBG/OM,47.74,0.00
__export__.product_product_85687_fd8f22c2,SH-NAP-WH-BG/L,SHNAPWHBG/OL,47.74,0.00
__export__.product_product_85688_5e16e383,SH-NAP-WH-AZ/XS,SHNAPWHAZ/OXS,47.74,0.00
