id,match_method,product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost
__export__.product_product_88553_98d914b1,tmpl_id,__import__.product_template_cm0042ryb_n,CM0042RYB-N/XL,C0042RYN231204,H. CAMISA NORMAL SHIRT BLUE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88557_ee7ad7e4,tmpl_id,__import__.product_template_cm0044lbu_n,CM0044LBU-N/L,C0044LBN231203,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI,Talla: L,47.74,0.00
__export__.product_product_88556_18e9e843,tmpl_id,__import__.product_template_cm0044lbu_n,CM0044LBU-N/M,C0044LBN231202,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88555_fcb998aa,tmpl_id,__import__.product_template_cm0044lbu_n,CM0044LBU-N/S,C0044LBN231201,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88548_59316065,tmpl_id,__import__.product_template_cm0044mbu_n,CM0044MBU-N/XL,C0044MBN231204,H. CAMISA NORMAL SHIRT PURPLE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88564_df91a122,tmpl_id,__import__.product_template_4s22026_2,4S22026-2-14.5-S1,452206220231451,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33 (4s22026_2),"Talla: 14.5, Manga de Camisa: S1 - 32/33",56.44,0.00
__export__.product_product_88571_0f42a0dc,tmpl_id,__import__.product_template_4s22026_2,4S22026-2-17.5-S2,452206220231752,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33 (4s22026_2),"Talla: 17.5, Manga de Camisa: S2 - 34/35",56.44,0.00
__export__.product_product_88546_ac4165d3,tmpl_id,__import__.product_template_cm0044mbu_n,CM0044MBU-N/M,C0044MBN231202,H. CAMISA NORMAL SHIRT PURPLE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88569_13173c73,tmpl_id,__import__.product_template_4s22026_2,4S22026-2-17-S2,452206220231702,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33 (4s22026_2),"Talla: 17, Manga de Camisa: S2 - 34/35",56.44,0.00
__export__.product_product_88568_499e1fe4,tmpl_id,__import__.product_template_4s22026_2,4S22026-2-17-S1,452206220231701,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33 (4s22026_2),"Talla: 17, Manga de Camisa: S1 - 32/33",56.44,0.00
__export__.product_product_88567_0d840461,tmpl_id,__import__.product_template_4s22026_2,4S22026-2-16.5-S2,452206220231652,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33 (4s22026_2),"Talla: 16.5, Manga de Camisa: S2 - 34/35",56.44,0.00
__export__.product_product_88566_4d463462,tmpl_id,__import__.product_template_4s22026_2,4S22026-2-16.5-S1,452206220231651,H. CAMISA P/S BRUNO CASSINI SKY BLUE 32-33 (4s22026_2),"Talla: 16.5, Manga de Camisa: S1 - 32/33",56.44,0.00
__export__.product_product_88573_0727a8e5,tmpl_id,__import__.product_template_cm0042mbu_n,CM0042MBU-N/M,C0042MBN231202,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_n),Talla: M,47.74,0.00
__export__.product_product_88572_7bb68897,tmpl_id,__import__.product_template_cm0042mbu_n,CM0042MBU-N/S,C0042MBN231201,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_n),Talla: S,47.74,0.00
__export__.product_product_88574_f06d15e6,tmpl_id,__import__.product_template_cm0042mbu_n,CM0042MBU-N/L,C0042MBN231203,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_n),Talla: L,47.74,0.00
__export__.product_product_88547_313ab55a,tmpl_id,__import__.product_template_cm0044mbu_n,CM0044MBU-N/L,C0044MBN231203,H. CAMISA NORMAL SHIRT PURPLE BRUNO CASSINI,Talla: L,47.74,0.00
__export__.product_product_88580_2f202850,tmpl_id,__import__.product_template_cm0042dbu_n,CM0042DBU-N/XXL,C0042DBN231205,H. CAMISA NORMAL SHIRT BLUE BRUNO CASSINI (cm0042dbu_n),Talla: XXL,47.74,0.00
__export__.product_product_88576_feddb1be,tmpl_id,__import__.product_template_cm0042mbu_n,CM0042MBU-N/XXL,C0042MBN231205,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_n),Talla: XXL,47.74,0.00
__export__.product_product_88575_701edf00,tmpl_id,__import__.product_template_cm0042mbu_n,CM0042MBU-N/XL,C0042MBN231204,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI (cm0042mbu_n),Talla: XL,47.74,0.00
__export__.product_product_88559_edfe05be,tmpl_id,__import__.product_template_cm0044lbu_n,CM0044LBU-N/XXL,C0044LBN231205,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI,Talla: XXL,47.74,0.00
__export__.product_product_88558_2ccb716a,tmpl_id,__import__.product_template_cm0044lbu_n,CM0044LBU-N/XL,C0044LBN231204,H. CAMISA NORMAL SHIRT SKY BLUE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88586_6b4e8098,tmpl_id,__import__.product_template_4s22009_2,4S22009-2-16.5-S2,4S220092231652,H. CAMISA P/S BRUNO CASSINI SKY BLUE ROMBO 34-35,"Talla: 16.5, Manga de Camisa: S2 - 34/35",56.44,0.00
__export__.product_product_88585_4f9449c2,tmpl_id,__import__.product_template_4s22009_2,4S22009-2-16.5-S1,4S220092231651,H. CAMISA P/S BRUNO CASSINI SKY BLUE ROMBO 34-35,"Talla: 16.5, Manga de Camisa: S1 - 32/33",56.44,0.00
__export__.product_product_88584_62b35044,tmpl_id,__import__.product_template_4s22009_2,4S22009-2-15.5-S2,4S220092231552,H. CAMISA P/S BRUNO CASSINI SKY BLUE ROMBO 34-35,"Talla: 15.5, Manga de Camisa: S2 - 34/35",56.44,0.00
