Template External ID,Template Name,Source Variant External ID,Variant Attributes Key,Internal Reference,Barcode,Sales Price,Cost,Weight,Original Product Values
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_48,Marca=Bruno Cassini|Talla=48,HD19152-4/48,HD1915204202548,165.13,0.00,0.0,"Talla:48,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_60,Marca=Bruno Cassini|Talla=60,HD19152-4/60,HD1915204202560,165.13,0.00,0.0,"Talla:60,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_58,Marca=Bruno Cassini|Talla=58,HD19152-4/58,HD1915204202558,165.13,0.00,0.0,"Talla:58,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_46,Marca=Bruno Cassini|Talla=46,HD19152-4/46,HD1915204202546,165.13,0.00,0.0,"Talla:46,Marca:Bruno Cassini"
adams_tmpl_leva_hd19152_4,Leva HD19152-4,adams_hd19152_4_56,Marca=Bruno Cassini|Talla=56,HD19152-4/56,HD1915204202556,165.13,0.00,0.0,"Talla:56,Marca:Bruno Cassini"
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_54,Color=Gris|Marca=Bruno Cassini|Talla=54,23E4246-16-PAT/54,23E424616202554PT,173.83,0.00,0.0,"Talla:54,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_52,Color=Gris|Marca=Bruno Cassini|Talla=52,23E4246-16-PAT/52,23E424616202552PT,173.83,0.00,0.0,"Talla:52,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_50,Color=Gris|Marca=Bruno Cassini|Talla=50,23E4246-16-PAT/50,23E424616202550PT,173.83,0.00,0.0,"Talla:50,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_48,Color=Gris|Marca=Bruno Cassini|Talla=48,23E4246-16-PAT/48,23E424616202548PT,173.83,0.00,0.0,"Talla:48,Marca:Bruno Cassini,Color:Gris"
adams_tmpl_leva_23e4246_16_pat,Leva 23E4246-16-PAT,adams_23e4246_16_pat_46,Color=Gris|Marca=Bruno Cassini|Talla=46,23E4246-16-PAT/46,23E424616202546PT,173.83,0.00,0.0,"Talla:46,Marca:Bruno Cassini,Color:Gris"
