Internal Reference,name_odoo,qty_available,barcode
10036A-18-217BC-2/52,Terno 10036A-18-217BC-2,0.0,1003618217235234
10036A-18-217BC-2/54,Terno 10036A-18-217BC-2,0.0,1003618217235436
10036A-18-217BC-2/56,Terno 10036A-18-217BC-2,0.0,1003618217235638
10036A-18-217BC-2/58,Terno 10036A-18-217BC-2,0.0,1003618217235840
10036A-18-498-BC-2/46,Terno 10036A-18-498-BC-2,0.0,1003618498234628
10036A-18-498-BC-2/48,Terno 10036A-18-498-BC-2,0.0,1003618498234830
10036A-18-498-BC-2/50,Terno 10036A-18-498-BC-2,0.0,1003618498235032
10036A-18-498-BC-2/52,Terno 10036A-18-498-BC-2,0.0,1003618498235234
10036A-18-498-BC-2/54,Terno 10036A-18-498-BC-2,0.0,1003618498235436
10036A-18-498-BC-2/56,Terno 10036A-18-498-BC-2,0.0,1003618498235638
10036A-18-498-BC-2/58,Terno 10036A-18-498-BC-2,0.0,1003618498235840
10036A-8-495-BC-2/46,Terno 10036A-8-495-BC-2,0.0,10036849520234628
10036A-8-495-BC-2/48,Terno 10036A-8-495-BC-2,0.0,10036849520234830
10036A-8-495-BC-2/50,Terno 10036A-8-495-BC-2,0.0,10036849520235032
10036A-8-495-BC-2/52,Terno 10036A-8-495-BC-2,0.0,10036849520235234
10036A-8-495-BC-2/54,Terno 10036A-8-495-BC-2,0.0,10036849520235436
10036A-8-495-BC-2/56,Terno 10036A-8-495-BC-2,0.0,10036849520235638
10036A-8-495-BC-2/58,Terno 10036A-8-495-BC-2,0.0,10036849520235840
1010930,FALDA P/DAMA,0.0,1010930
1011830,PANTALON PARA DAMA MODELO,0.0,1011830
1011954,PANTALON PARA DAMA,0.0,1011954
1012035,PANTALON PARA DAMA MODELO,0.0,1012035
1012065-AZ/M,BLUSA M/3/4 P/DAMA BLANCA AZUL TALLA M,0.0,1012065-AZ/OM
1012065-AZ/S,BLUSA M/3/4 P/DAMA BLANCA AZUL TALLA M,0.0,1012065-AZ/OS
1012065-AZ/XS,BLUSA M/3/4 P/DAMA BLANCA AZUL TALLA M,0.0,1012065-AZ/OXS
