Categoría,Subcategoría,Código,Código Catálogo 	,Nombre,Serie,Unidad,Marca,Costo Prom,Stock Mínimo,Stock,Total
PANTALON / CABALLERO ,PANTALON / CABALLERO ,028-65-32,,PANTALON BRUNO CASSINI (HOMBRE),,Unidad,CASSINI PANTALON DE VESTIR,14.50,0.00,24.00,348.00
PANTALON / CABALLERO ,PANTALON / CABALLERO ,028-F5-32,,PANTALON BRUNO CASSINI (HOMBRE),,Unidad,CASSINI PANTALON DE VESTIR,14.50,0.00,1.00,14.50
JEANS/CABALLEROS ,JEANS/CABALLEROS ,03/FA700008W140,,JEANS SUPER SKINNY DIRTY,,Unidad,ANTHONY MORATO PANTALONES,40.00,0.00,2.00,80.00
JEANS/CABALLEROS ,JEANS/CABALLEROS ,03/FA700010,,JEANS SUPER SKINNY,,Unidad,ANTHONY MORATO PANTALONES,40.00,0.00,5.00,200.00
VESTIDOS DE FIESTA,VESTIDOS DE FIESTA,0437,,FAISCA VESTIDO LARGO,,Unidad,,48.00,0.00,1.00,48.00
VESTIDOS DE FIESTA,VESTIDOS DE FIESTA,0491,,FAISCA VESTIDO LARGO,,Unidad,,48.00,0.00,1.00,48.00
VESTIDOS DE FIESTA,VESTIDOS DE FIESTA,0731,,FAISCA VESTIDO LARGO,,Unidad,,45.00,0.00,1.00,45.00
ROPA DE NIÑOS,ROPA DE NIÑOS,08-40456,,CONJUNTO FALDA 4-12 LIZZIE,,Unidad,,11.37,0.00,2.00,22.74
ROPA DE NIÑOS,ROPA DE NIÑOS,08-42325,,BLUSA 2-8 LIZIE MAC GUIRE,,Unidad,,3.15,0.00,1.00,3.15
ROPA DE NIÑOS,ROPA DE NIÑOS,08-42339,,BLUSA 2-8 LIZZIE MC GUIRE,,Unidad,,3.15,0.00,1.00,3.15
ROPA DE NIÑOS,ROPA DE NIÑOS,08-42342,,BLUSA 2-8 LIZZI MC GUIRE,,Unidad,,3.15,0.00,2.00,6.30
ROPA DE NIÑOS,ROPA DE NIÑOS,08-42793,,CONJUNTO NINA TROLLZ,,Unidad,,12.00,0.00,5.00,60.00
CAMISA,CAMISA,081920-24EC/14.5,,CAMISA M/L SKY BLUE BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,2.00,26.00
CAMISA,CAMISA,081920-44EC/14.5,,CAMISA M/L CELESTE OSCURO BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,4.00,52.00
CAMISA,CAMISA,081920-44EC/16,,CAMISA M/L CELESTE OSCURO BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,1.00,13.00
CAMISA,CAMISA,082845-01EC/14.5,,CAMISA M/L MELON BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,15.00,195.00
CAMISA,CAMISA,082845-01EC/15,,CAMISA M/L MELON BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.00,0.00,2.00,26.00
