Categoría,Subcategoría,Código,Código Catálogo 	,Nombre,Serie,Unidad,Marca,Costo Prom,Stock Mínimo,Stock,Total
CINTURONES P/DAMA,CINTURONES P/DAMA,IW3827CRC,20191205-AURADEFAS,CINTURON P/DAMA VARIOS MODELOS,,Unidad,,8.80,0.00,1.00,8.80
ROPA INTERIOR DAMA,ROPA INTERIOR DAMA,J-35,,TERNO DE BANO JUNIOR SOLEI,,Unidad,,2.00,0.00,2.00,4.00
JEANS/DAMA,JEANS/DAMA,J07034FC/DARK BLK-2-28,,PANTALON MUJER,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,17.00,306.00
JEANS/DAMA,JEANS/DAMA,J11063/BLEACH BLUE-25,,BLEACH BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,7.00,126.00
JEANS/DAMA,JEANS/DAMA,J11063/BLEACH BLUE-26,,BLEACH BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,14.00,252.00
JEANS/DAMA,JEANS/DAMA,J11063/BLEACH BLUE-27,,BLEACH BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,16.00,288.00
JEANS/DAMA,JEANS/DAMA,J11063/BLEACH BLUE-28,,BLEACH BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,9.00,162.00
JEANS/DAMA,JEANS/DAMA,J14015AC/DARK BLUE-25,,DARK BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,6.00,108.00
JEANS/DAMA,JEANS/DAMA,J14015AC/DARK BLUE-26,,DARK BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,42.00,756.00
JEANS/DAMA,JEANS/DAMA,J14015AC/DARK BLUE-27,,DARK BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,76.00,"1,368.00"
JEANS/DAMA,JEANS/DAMA,J14015AC/DARK BLUE-28,,DARK BLUE,,Unidad,OBSENA PANTALON/JEAN,18.00,0.00,7.00,126.00
CHAQUETA,CHAQUETA,J5508-BLACK/M,,TWEED JACKET-100% POLYESTER-BLACK,,Unidad,,12.00,0.00,1.00,12.00
CHAQUETA,CHAQUETA,J5519-BLACK/L,,TWO BUTTON JACKET -100% POLYESTER BLACK-WHITE,,Unidad,,12.00,0.00,1.00,12.00
CHAQUETA,CHAQUETA,J5519-BLACK/M,,TWO BUTTON JACKET -100% POLYESTER BLACK-WHITE,,Unidad,,12.00,0.00,1.00,12.00
CHAQUETA,CHAQUETA,J5519-WHITE/L,,TWO BUTTON JACKET -100% POLYESTER BLACK-WHITE,,Unidad,,12.00,0.00,1.00,12.00
CHAQUETA,CHAQUETA,J5519-WHITE/M,,TWO BUTTON JACKET -100% POLYESTER BLACK-WHITE,,Unidad,,12.00,0.00,1.00,12.00
CHAQUETA,CHAQUETA,J5530-BLACK/L,,TWEED JACKET-100% POLYESTER-BLACK,,Unidad,,12.00,0.00,2.00,24.00
CHAQUETA,CHAQUETA,J5530-BLACK/M,,TWEED JACKET-100% POLYESTER-BLACK,,Unidad,,12.00,0.00,2.00,24.00
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1109-CA,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA CAMEL,,Unidad,,9.22,0.00,1.00,9.22
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1109-OL,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA OLIVE,,Unidad,,9.22,0.00,1.00,9.22
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1143,20210104-EUU-STEFFY,M. CINTURON P/DAMA VARIOS MODELOS,,Unidad,,8.54,0.00,1.00,8.54
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1339-BK,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA BLACK,,Unidad,,12.29,0.00,1.00,12.29
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1339-MI,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA MINT,,Unidad,,12.29,0.00,1.00,12.29
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1339-PI,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA PINK,,Unidad,,12.29,0.00,1.00,12.29
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1582-IVY,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA IVY,,Unidad,,9.99,0.00,1.00,9.99
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1602-OL,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA OLIVE,,Unidad,,12.29,0.00,1.00,12.29
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1602-PI,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA PINK,,Unidad,,12.29,0.00,1.00,12.29
CINTURONES P/DAMA,CINTURONES P/DAMA,JCB-1602-TP,2022139-FATCARD-SEPT,M. CINTURONES P/DAMA TAUPE,,Unidad,,12.29,0.00,1.00,12.29
VESTIDO,VESTIDO,JD40120/M,202104-EEUU-ESTEFY,COTTOS FLORAL EYELET DRESS VESTIDO,,Unidad,,30.59,0.00,1.00,30.59
JEANS/DAMA,JEANS/DAMA,JEANS-431F309N/12,20240411-KERLY LLERENA,M. JEANS P/DAMA TAYLOR,,Unidad,,25.50,0.00,1.00,25.50
JEANS/DAMA,JEANS/DAMA,JEANS-431F309N/6,20240411-KERLY LLERENA,M. JEANS P/DAMA TAYLOR,,Unidad,,25.50,0.00,1.00,25.50
JEANS/CABALLEROS ,JEANS/CABALLEROS ,JEANS-HILTON,,H. JEANS DOLCE & GABBANA,,Unidad,,40.00,0.00,1.00,40.00
BISUTERIA,BISUTERIA,JGO-AR-CAD,ERIKA ZAVALA DIC2025,JUEGO ARETE Y CADENA VARIOS MODELOS,,Unidad,,15.00,0.00,12.00,180.00
VESTIDO,VESTIDO,JMD10811,20191205-AURADEFAS,VESTIDO JUST ME,,Unidad,,39.47,0.00,1.00,39.47
BISUTERIA,BISUTERIA,JN-0473,20220813-ESTEFFY-EEUU,M. ACCESORIOS CADENA P/DAMA VARIOS MODELOS,,Unidad,,6.00,0.00,2.00,12.00
ROPA DE NIÑOS,ROPA DE NIÑOS,JONES-H/7M,,ZAPATOS DE DAMAS COLOR H,,Unidad,,57.90,0.00,1.00,57.90
CAMISA,CAMISA,JR0221-7-S1/14.5,202108-RAMIROV-SABANDO-CASSINI,H. CAMISA P/CABALLERO SKY/CUADROS P/S 32-33 BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,14.00,0.00,1.00,14.00
CAMISA,CAMISA,JR0402-5-S1/15,202108-RAMIROV-SABANDO-CASSINI,H. CAMISA P/CABALLERO CUADRO/RAYAS P/S 32-33 BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,14.00,0.00,1.00,14.00
ZAPATOS / DAMA,ZAPATOS / DAMA,JS-CAMEO-BL/39,,CALZADO JESSICA SIMPSON BLACK,,Unidad,JESSICA SIMPSON ZAPATOS,32.40,0.00,1.00,32.40
BISUTERIA,BISUTERIA,JY-24,20220909-ERIKA-ZAVALA,M. JOYERO P/DAMA VARIOS MODELOS,,Unidad,,24.00,0.00,1.00,24.00
CORBATA,CORBATA,K178/4-7,20231204- ZHEJIANG-CORBATAS,H. CORBATA P/CABALLERO CASSINI,,Unidad,CASSINI CORBATAS 7 CM,0.97,0.00,1.00,0.97
CORBATA,CORBATA,K178/8-7,20231204- ZHEJIANG-CORBATAS,H. CORBATA P/CABALLERO CASSINI BLUE / CIRCLE GREY,,Unidad,CASSINI CORBATAS 7 CM,1.75,0.00,2.00,3.50
CAMISA,CAMISA,K818-1-16.5-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI WHITE 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,3.00,27.27
CAMISA,CAMISA,K818-3-16.5-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI BLUE POINT 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K818-4-15-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI LILA POINT 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K818-4-16-S1,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI LILA POINT 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K818-4-16.5-S1,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI LILA POINT 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K818-4-16.5-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI LILA POINT 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,5.00,45.45
CAMISA,CAMISA,K818-4-17-S2,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI LILA POINT 34-35,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K820-3-14.5-S1,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI BLUE POINT 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K820-3-17-S1,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI BLUE POINT 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K820-6-17-S1,2022-15-12-CASSINI-YIWU,H. CAMISA P/S BRUNO CASSINI RED POINT 32-33,,Unidad,CASSINI CAMISAS CABALLEROS,9.09,0.00,1.00,9.09
CAMISA,CAMISA,K822-16DP/14.5,CAMISAS CASSINI / MAYO 2018,CAMISA DOBLE PUNO M/L SKY BLUE BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,7.40,0.00,12.00,88.80
CAMISA,CAMISA,K822-16DP/15.5,CAMISAS CASSINI / MAYO 2018,CAMISA DOBLE PUNO M/L SKY BLUE BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,7.62,0.00,4.00,30.48
CAMISA,CAMISA,K822-3/14.5,CAMISAS CASSINI / MAYO 2018,CAMISA M/L AMARILLO PASTEL BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.77,0.00,1.00,13.77
CAMISA,CAMISA,K822-3/15,CAMISAS CASSINI / MAYO 2018,CAMISA M/L AMARILLO PASTEL BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,14.20,0.00,1.00,14.20
CAMISA,CAMISA,K822-3/15.5,CAMISAS CASSINI / MAYO 2018,CAMISA M/L AMARILLO PASTEL BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.77,0.00,6.00,82.62
CAMISA,CAMISA,K822-3/16,CAMISAS CASSINI / MAYO 2018,CAMISA M/L AMARILLO PASTEL BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,13.01,0.00,1.00,13.01
JEANS/DAMA,JEANS/DAMA,KAN-ANHOA/24,20220601-KAN-CAN,M. PANTALON P/DAMA KAN CAN ANHOA,,Unidad,CAN CAN JEANS,13.39,0.00,1.00,13.39
JEANS/DAMA,JEANS/DAMA,KAN-ANHOA/25,20220601-KAN-CAN,M. PANTALON P/DAMA KAN CAN ANHOA,,Unidad,CAN CAN JEANS,13.39,0.00,2.00,26.78
JEANS/DAMA,JEANS/DAMA,KAN-ANHOA/27,20220601-KAN-CAN,M. PANTALON P/DAMA KAN CAN ANHOA,,Unidad,CAN CAN JEANS,13.39,0.00,2.00,26.78
ILUMINACIÓN,ILUMINACIÓN,KB120-5630/WHITE,,"110V STRIPS, 100MTS/ROLL; 60PCS LED/MTR; 12MM; 24-26LM/PC",,Unidad,,1.22,0.00,124.00,151.28
ILUMINACIÓN,ILUMINACIÓN,KB120-5630/YELLOW,,"110V STRIPS, 100MTS/ROLL; 60PCS LED/MTR; 12MM; 24-26LM/PC",,Unidad,,1.34,0.00,402.00,538.68
ILUMINACIÓN,ILUMINACIÓN,KB60-S5050/BLUE,,"110V STRIPS, 100MTS/ROLL; 60PCS LED/MTR; 8MM; 12-15LM/PC",,Unidad,,1.06,0.00,99.00,104.94
ILUMINACIÓN,ILUMINACIÓN,KB60-S5050/RED,,"110V STRIPS, 100MTS/ROLL; 60PCS LED/MTR; 8MM; 12-15LM/PC",,Unidad,,1.06,0.00,99.00,104.94
ILUMINACIÓN,ILUMINACIÓN,KB60-S5050/RGB,,"110V STRIPS, 100MTS/ROLL; 60PCS LED/MTR; 10MM 14.4W",,Unidad,,1.45,0.00,418.00,606.10
ILUMINACIÓN,ILUMINACIÓN,KB60-S5050/WHITE,,"110V STRIPS, 100MTS/ROLL; 60PCS LED/MTR; 8MM; 12-15LM/PC",,Unidad,,1.06,0.00,109.00,115.54
ILUMINACIÓN,ILUMINACIÓN,KB60-S5050/YELLOW,,"110V STRIPS, 100MTS/ROLL; 60PCS LED/MTR; 8MM; 12-15LM/PC",,Unidad,,1.06,0.00,99.00,104.94
ILUMINACIÓN,ILUMINACIÓN,KB60-S5730-12V,,RIGID STRIP FLEXIBLE LIGHT - K60-S5730-12V; 40-50LM/PC,,Unidad,,1.25,0.00,233.00,291.25
BISUTERIA,BISUTERIA,KK670,,COLLAR,,Unidad,BISUTERIA Y PERFUMES,12.00,0.00,2.00,24.00
ILUMINACIÓN,ILUMINACIÓN,KLN-TWAM-S1-350NI,LED-2018-01,LED EMERGENCY LIGHT: 2*12 PCS LED 5W 6000-6500,,Unidad,,6.99,0.00,1.00,6.99
ILUMINACIÓN,ILUMINACIÓN,KLN-TWAN-001,,LED EMERGENXCY 6000 - 6500 LIGHT; 2*12PCS LED; 120-277V 50/6,,Unidad,,10.87,0.00,49.00,532.63
BISUTERIA,BISUTERIA,KN-7254,20210407-EEUU-STEFY,FASHION NECKLACE VARIOS MODELOS,,Unidad,,4.28,0.00,1.00,4.28
PANTALON / DAMA ,PANTALON / DAMA ,KP-1245-6-MU/M,20220827-FATCARD-EEUU,M. PAISLEY PRINT JOGGERS MULTI,,Unidad,,31.24,0.00,2.00,62.48
PANTALON / DAMA ,PANTALON / DAMA ,KP-1245-6-MU/S,20220827-FATCARD-EEUU,M. PAISLEY PRINT JOGGERS MULTI,,Unidad,,31.24,0.00,2.00,62.48
BISUTERIA,BISUTERIA,KSE-5022-6,20210407-EEUU-STEFY,FASHION EARRING VARIOS MODELOS,,Unidad,,5.00,0.00,1.00,5.00
BISUTERIA,BISUTERIA,KSE-6307-4,20210407-EEUU-STEFY,FASHION EARRING VARIOS MODELOS,,Unidad,,4.64,0.00,1.00,4.64
VESTIDOS DE FIESTA,VESTIDOS DE FIESTA,L1128,,VESTIDO LARGO RANIAS,,Unidad,VESTIDOS AURA DEFAS 2018,96.24,0.00,1.00,96.24
CAMISA,CAMISA,L21SW-1-17.5-S2,20211025-CASSINI-CHINA,H. CAMISA P/CABALLERO M/C  WHITE 34-35 BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,16.22,0.00,1.00,16.22
CAMISA,CAMISA,L21SW-3-17.5-S1,20211025-CASSINI-CHINA,H. CAMISA P/CABALLERO XL P/S WHITE 32-33 BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,17.47,0.00,1.00,17.47
CAMISA,CAMISA,L21SW-3-19-S2,20211025-CASSINI-CHINA,H. CAMISA P/CABALLERO XL P/S WHITE 34-35 BRUNO CASSINI,,Unidad,CASSINI CAMISAS CABALLEROS,17.47,0.00,1.00,17.47
ILUMINACIÓN,ILUMINACIÓN,LAMP-20,,LAMPARA DE PARED LED 20X10X8 - 3000K,,Unidad,,68.84,0.00,3.00,206.52
ILUMINACIÓN,ILUMINACIÓN,LB-601-7W (RD),,"ROUND, COB, ADJUSTABLE LIGHT 7W 3000-3500K",,Unidad,,4.30,0.00,94.00,404.20
ILUMINACIÓN,ILUMINACIÓN,LB-601-7W (SQ),,"SQUARE,COB,ADJUSTABLE 7W 3000-3500K",,Unidad,,4.30,0.00,109.00,468.70
ILUMINACIÓN,ILUMINACIÓN,LB-601-7W/RD,LED-2017-10,"ROUND, COB, ADJUSTABLE LIGHT 7W 3000-3500K",,Unidad,,6.40,0.00,7.00,44.80
CAMISA,CAMISA,LBPC-A03-217S-GR/XL,20231213-PRESTIGE-PANAMA,H. CAMISA M/C LONG BEACH GREY,,Unidad,LONG BEACH CAMISAS,14.71,0.00,2.00,29.42
CAMISA,CAMISA,LBPC-A03-217S-RS/L,20231213-PRESTIGE-PANAMA,H. CAMISA M/C LONG BEACH ROSE,,Unidad,LONG BEACH CAMISAS,14.71,0.00,2.00,29.42
CAMISA,CAMISA,LBPC-A03-217S-RS/S,20231213-PRESTIGE-PANAMA,H. CAMISA M/C LONG BEACH ROSE,,Unidad,LONG BEACH CAMISAS,14.71,0.00,1.00,14.71
CAMISETA,CAMISETA,LBPC-A31-210S-RT/S,20231213-PRESTIGE-PANAMA,H. POLO M/C LONG BEACH RUST,,Unidad,LONG BEACH CAMISETAS,11.85,0.00,1.00,11.85
CAMISETA,CAMISETA,LBPC-A31-210S-WH/XL,20231213-PRESTIGE-PANAMA,H. POLO M/C LONG BEACH WHITE,,Unidad,LONG BEACH CAMISETAS,11.85,0.00,1.00,11.85
CAMISETA,CAMISETA,LBPC-A31-218S-WH/L,20231213-PRESTIGE-PANAMA,H. POLO M/C LONG BEACH WHITE,,Unidad,LONG BEACH CAMISETAS,11.85,0.00,1.00,11.85
CAMISETA,CAMISETA,LBPC-A31-218S-WH/M,20231213-PRESTIGE-PANAMA,H. POLO M/C LONG BEACH WHITE,,Unidad,LONG BEACH CAMISETAS,11.85,0.00,1.00,11.85
CAMISETA,CAMISETA,LBPC-A31-243S-BL/L,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO BLACK,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-BL/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO BLACK,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-243S-BL/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO BLACK,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-CHRR/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO CHERRY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-CHRR/S,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO CHERRY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-CHRR/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO CHERRY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-243S-HCH/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-243S-HCH/S,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-HCH/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO CHARCOAL,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-243S-LK/L,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO LAKE,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,5.00,54.40
CAMISETA,CAMISETA,LBPC-A31-243S-LK/S,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO LAKE,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-LK/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO LAKE,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,3.00,32.64
CAMISETA,CAMISETA,LBPC-A31-243S-NV/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO NAVY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-WH/L,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO WHITE,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-243S-WH/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO WHITE,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-WH/S,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO WHITE,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-243S-WH/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO WHITE,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-254R-DKNV/L,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-254R-DKNV/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-254R-DKNV/S,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-254R-DKNV/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO DARK NAVY,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-254R-LTSL/L,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,4.00,43.52
CAMISETA,CAMISETA,LBPC-A31-254R-LTSL/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,4.00,43.52
CAMISETA,CAMISETA,LBPC-A31-254R-LTSL/S,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-254R-LTSL/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO LT. SALMON,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-254R-NGE/L,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,3.00,32.64
CAMISETA,CAMISETA,LBPC-A31-254R-NGE/M,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISETA,CAMISETA,LBPC-A31-254R-NGE/S,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,2.00,21.76
CAMISETA,CAMISETA,LBPC-A31-254R-NGE/XL,20241008-PANAMA-PRES-MAG,H. POLO LONG BEACH M/C P/CABALLERO NILO GREEN,,Unidad,LONG BEACH CAMISETAS,10.88,0.00,1.00,10.88
CAMISA,CAMISA,LBPC-B03-101S-BL/L,20241213-PRESTIGE,H. CAMISA P/H M/C BLACK LONG BEACH,,Unidad,LONG BEACH CAMISAS,15.66,0.00,11.00,172.26
CAMISA,CAMISA,LBPC-B03-101S-BL/M,20241213-PRESTIGE,H. CAMISA P/H M/C BLACK LONG BEACH,,Unidad,LONG BEACH CAMISAS,15.95,0.00,6.00,95.70
CAMISA,CAMISA,LBPC-B03-101S-BL/S,20241213-PRESTIGE,H. CAMISA P/H M/C BLACK LONG BEACH,,Unidad,LONG BEACH CAMISAS,16.30,0.00,3.00,48.90
CAMISA,CAMISA,LBPC-B03-101S-BL/XL,20241213-PRESTIGE,H. CAMISA P/H M/C BLACK LONG BEACH,,Unidad,LONG BEACH CAMISAS,15.60,0.00,5.00,78.00
CAMISA,CAMISA,LBPC-B03-101S-KA/L,20251212-PRESTIGE,CAMISA P/H M/C KHAKI LONG BEACH,,Unidad,LONG BEACH CAMISAS,17.01,0.00,3.00,51.03
CAMISA,CAMISA,LBPC-B03-101S-KA/M,20251212-PRESTIGE,CAMISA P/H M/C KHAKI LONG BEACH,,Unidad,LONG BEACH CAMISAS,17.01,0.00,2.00,34.02
CAMISA,CAMISA,LBPC-B03-101S-KA/S,20251212-PRESTIGE,CAMISA P/H M/C KHAKI LONG BEACH,,Unidad,LONG BEACH CAMISAS,17.01,0.00,1.00,17.01
CAMISA,CAMISA,LBPC-B03-101S-NV/L,20251212-PRESTIGE,CAMISA P/H M/C NAVY LONG BEACH,,Unidad,LONG BEACH CAMISAS,17.01,0.00,3.00,51.03
CAMISA,CAMISA,LBPC-B03-101S-NV/M,20251212-PRESTIGE,CAMISA P/H M/C NAVY LONG BEACH,,Unidad,LONG BEACH CAMISAS,17.01,0.00,4.00,68.04
CAMISA,CAMISA,LBPC-B03-101S-NV/S,20251212-PRESTIGE,CAMISA P/H M/C NAVY LONG BEACH,,Unidad,LONG BEACH CAMISAS,17.01,0.00,2.00,34.02
CAMISA,CAMISA,LBPC-B03-101S-NV/XL,20251212-PRESTIGE,CAMISA P/H M/C NAVY LONG BEACH,,Unidad,LONG BEACH CAMISAS,17.01,0.00,1.00,17.01
CAMISA,CAMISA,LBPC-B03-101S-WH/L,20241213-PRESTIGE,H. CAMISA P/H M/C WHITE LONG BEACH,,Unidad,LONG BEACH CAMISAS,16.30,0.00,6.00,97.80
CAMISA,CAMISA,LBPC-B03-101S-WH/M,20241213-PRESTIGE,H. CAMISA P/H M/C WHITE LONG BEACH,,Unidad,LONG BEACH CAMISAS,15.95,0.00,6.00,95.70
CAMISA,CAMISA,LBPC-B03-101S-WH/S,20241213-PRESTIGE,H. CAMISA P/H M/C WHITE LONG BEACH,,Unidad,LONG BEACH CAMISAS,15.95,0.00,3.00,47.85
CAMISA,CAMISA,LBPC-B03-101S-WH/XL,20241213-PRESTIGE,H. CAMISA P/H M/C WHITE LONG BEACH,,Unidad,LONG BEACH CAMISAS,15.60,0.00,5.00,78.00
CAMISA,CAMISA,LBPC-B03-101SS-NV/XL,20241213-PRESTIGE,H. CAMISA P/H M/C NAVY LONG BEACH,,Unidad,LONG BEACH CAMISAS,15.24,0.00,1.00,15.24
