External ID,Name,Product Type,Product Category,Sales Price,Cost,Can be Sold,Can be Purchased,is_storable,available_in_pos,Product Attributes / Attribute,Product Attributes / Values,Product Attributes / Create Variants
product_template_bpm7770,JEANS DE HOMBRE 100 ALGODON (bpm7770),Goods,Ropa / Hombres / Jeans,120.45,0.00,True,True,True,True,Talla,"28,29,30,31",always
product_template_bpm7120,JEANS SIMON DE HOMBRE,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,34,always
product_template_bmo7217,H. JEANS BUFFALO,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,32,always
product_template_bmo7209,H. JEANS BUFFALO GAME,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,30,always
product_template_bmo6604,H. JEANS BUFFALO MATHEW,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,30,always
product_template_bmo6226,H. PANTALON BUFFALO X-PERT,Goods,Ropa / Hombres / Pantalones,39.04,0.00,True,True,True,True,Talla,30,always
product_template_bmo5961,H. PANTALON BUFFALO JECK,Goods,Ropa / Hombres / Pantalones,39.04,0.00,True,True,True,True,Talla,29,always
product_template_bm13708,KING PANTALON (bm13708),Goods,Ropa / Hombres / Pantalones,39.04,0.00,True,True,True,True,Talla,28,always
product_template_bm11131,JEANS DRAYANN DE HOMBRE,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,29,always
product_template_bm10814,JEANS SIX HOMBRE,Goods,Ropa / Hombres / Jeans,39.04,0.00,True,True,True,True,Talla,32,always
product_template_opbs5148_468_sh,Terno OPBS5148-468.SH,Goods,Ropa / Hombres / Bermudas,47.74,0.00,True,True,True,True,Talla,31,always
product_template_opbs5148_468_sh,Terno OPBS5148-468.SH,Goods,Ropa / Hombres / Bermudas,47.74,0.00,True,True,True,True,Marca,Original Penguin,no_variant
product_template_fund_adams,FUNDAS ADAMS 18FLI,Goods,Sin Categoria,0.02,0.00,True,True,True,True,Talla,"15,18",always
product_template_pul19_09,ACCESORIO - 2019-09,Goods,Ropa / Mujeres / Accesorios,22.51,0.00,True,True,True,True,Talla,10,always
product_template_acce19_09,ACCESORIO - 2019-09 (acce19_09),Goods,Ropa / Mujeres / Accesorios,15.57,0.00,True,True,True,True,Talla,"8,9",always
product_template_acce19_09,ACCESORIO - 2019-09 (acce19_09),Goods,Ropa / Mujeres / Accesorios,15.57,0.00,True,True,True,True,Ancho Corbata,"6 cm,7 cm",always
product_template_j,JUMPER,Goods,Sin Categoria,53.48,0.00,True,True,True,True,Talla,32,always
product_template_cart_g_08,CARTERA GRANDE VARIOS MODELOS,Goods,Sin Categoria,47.74,0.00,True,True,True,True,Talla,19,always
product_template_px_nztd,LED DOWN LIGHT 30W 6000-6500K,Goods,Sin Categoria,10.00,0.00,True,True,True,True,Talla,30,always
product_template_acce_12,BISUTERIA VARIOS MODELOS,Goods,Ropa / Mujeres / Accesorios,15.57,0.00,True,True,True,True,Talla,18,always
product_template_w028_f9,Corbata W028-F9,Goods,Ropa / Mujeres / Pantalones,17.77,0.00,True,True,True,True,Ancho Corbata,6 cm,always
product_template_w028_f9,Corbata W028-F9,Goods,Ropa / Mujeres / Pantalones,17.77,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_w028_f9,Corbata W028-F9,Goods,Ropa / Mujeres / Pantalones,17.77,0.00,True,True,True,True,Talla,"8,10,12,14,16",always
product_template_xlh1639_11_apricot,ZAPATOS OBSENA,Goods,Ropa / Mujeres / Zapatos,13.38,0.00,True,True,True,True,Talla,"8,9,10",always
product_template_xlh1639_11_apricot,ZAPATOS OBSENA,Goods,Ropa / Mujeres / Zapatos,13.38,0.00,True,True,True,True,Ancho Corbata,"6 cm,7 cm",always
product_template_xlh1639_11_black,Corbata XLH1639-11/BLACK,Goods,Ropa / Mujeres / Zapatos,29.38,0.00,True,True,True,True,Ancho Corbata,6 cm,always
product_template_w028_62,PANTALON BRUNO CASSINI (MUJER),Goods,Ropa / Mujeres / Pantalones,17.77,0.00,True,True,True,True,Talla,"8,10,12,14,16",always
product_template_w028_62,PANTALON BRUNO CASSINI (MUJER),Goods,Ropa / Mujeres / Pantalones,17.77,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_w028_62,PANTALON BRUNO CASSINI (MUJER),Goods,Ropa / Mujeres / Pantalones,17.77,0.00,True,True,True,True,Ancho Corbata,6 cm,always
product_template_sabi_fiesta,M. CARTERA DE FIESTA VARIOS MD,Goods,Sin Categoria,28.97,0.00,True,True,True,True,Talla,38,always
product_template_s299_322,Corbata S299/322,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Ancho Corbata,7 cm,always
product_template_s299_322,Corbata S299/322,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_s299_301,Corbata S299/301,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Ancho Corbata,7 cm,always
product_template_s299_301,Corbata S299/301,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_s299_303,Corbata S299/303,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Ancho Corbata,7 cm,always
product_template_s299_303,Corbata S299/303,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_pv,PANTALONETA DE NINO SOLEI,Goods,Ropa / Niños / Pantalones,23.61,0.00,True,True,True,True,Talla,42,always
product_template_pt_rs3688_blk_m,PANTALON DE TERNO P/DAMA BRUNO CASSINI (pt_rs3688_blk_m),Goods,Ropa / Mujeres / Pantalones,40.09,0.00,True,True,True,True,Talla,L,always
product_template_pt_rs3688_blk_m,PANTALON DE TERNO P/DAMA BRUNO CASSINI (pt_rs3688_blk_m),Goods,Ropa / Mujeres / Pantalones,40.09,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_nodim_driver,Terno NODIM-DRIVER,Goods,Sin Categoria,1.00,0.00,True,True,True,True,Talla,7,always
product_template_m_03,Corbata M-03,Goods,Sin Categoria,6.70,0.00,True,True,True,True,Ancho Corbata,7 cm,always
product_template_m_03,Corbata M-03,Goods,Sin Categoria,6.70,0.00,True,True,True,True,Talla,"8,10,12",always
product_template_g07034as_blue,RINSE BLUE,Goods,Ropa / Mujeres / Pantalones,12.90,0.00,True,True,True,True,Color,Azul,no_variant
product_template_g07034as_blue,RINSE BLUE,Goods,Ropa / Mujeres / Pantalones,12.90,0.00,True,True,True,True,Talla,28,always
product_template_cv_k02_083,CAMISA M/C CUADROS - FUCHSIA,Goods,Ropa / Hombres / Camisas,17.30,0.00,True,True,True,True,Talla,S,always
product_template_bw4624_98,Corbata BW4624/98,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Ancho Corbata,7 cm,always
product_template_bw4624_98,Corbata BW4624/98,Goods,Ropa / Hombres / Corbatas,21.65,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_9039_bl,M. BIKINI JUNIOR BLANCO FLOR,Goods,Sin Categoria,18.31,0.00,True,True,True,True,Talla,16,always
product_template_9039_bl,M. BIKINI JUNIOR BLANCO FLOR,Goods,Sin Categoria,18.31,0.00,True,True,True,True,Color,Blanco,no_variant
product_template_8656bl,M.PRINCIPIANTE BLUE 08,Goods,Sin Categoria,5.27,0.00,True,True,True,True,Color,Azul,no_variant
product_template_8656bl,M.PRINCIPIANTE BLUE 08,Goods,Sin Categoria,5.27,0.00,True,True,True,True,Talla,12,always
product_template_81216,CAMISAS BRUNO CASSINI,Goods,Ropa / Hombres / Camisas,30.35,0.00,True,True,True,True,Marca,Bruno Cassini,no_variant
product_template_81216,CAMISAS BRUNO CASSINI,Goods,Ropa / Hombres / Camisas,30.35,0.00,True,True,True,True,Ancho Corbata,7 cm,always
product_template_43290,Terno 43290,Goods,Sin Categoria,33.83,0.00,True,True,True,True,Talla,34,always
product_template_43500,Terno 43500,Goods,Sin Categoria,25.90,0.00,True,True,True,True,Talla,32,always
product_template_43500,Terno 43500,Goods,Sin Categoria,25.90,0.00,True,True,True,True,Color,Multicolor,no_variant
