Product Template External ID,Product Template Name,Internal Reference,Barcode,Talla,Color,Manga de Camisa,Ancho Corbata,Marca,Sales Price,Cost,Product Category
product_template_p1290_36,Corbata P1290/36,P1290/36-6,P1290/O36-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12137_11,Corbata MF12137/11,MF12137/11-6,MF12137/O11-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12137_2,Corbata MF12137/2,MF12137/2-6,MF12137/O2-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290,Corbatín P1290/38,P1290/38-CO,P1290/O38-CO,,,,,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatines
product_template_p1064,Corbatín P1064/40,P1064/40-CO,P1064/O40-CO,,,,,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatines
product_template_pan_blue,PANUELO PARA HOMBRE - ACCESORIO BLUE,PAN-BLUE,PAN-BLUE,,Azul,,,,10.00,0.00,Sin Categoria
product_template_pan_black,PANUELO PARA HOMBRE - ACCESORIO BLACK,PAN-BLACK,PAN-BLACK,,Negro,,,,10.00,0.00,Sin Categoria
product_template_mf12162_10,Corbata MF12162/10,MF12162/10-6,MF12162/O10-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12162_5,Corbata MF12162/5,MF12162/5-6,MF12162/O5-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12162_3,Corbata MF12162/3,MF12162/3-6,MF12162/O3-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_11,Corbata MF12160/11,MF12160/11-6,MF12160/O11-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_9,Corbata MF12160/9,MF12160/9-6,MF12160/O9-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_8,Corbata MF12160/8,MF12160/8-6,MF12160/O8-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf12160_6,Corbata MF12160/6,MF12160/6-6,MF12160/O6-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_47,Corbata P1290/47,P1290/47-6,P1290/O47-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_45,Corbata P1290/45,P1290/45-6,P1290/O45-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_38,Corbata P1290/38,P1290/38-6,P1290/O38-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_37,Corbata P1290/37,P1290/37-6,P1290/O37-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_35,Corbata P1290/35,P1290/35-6,P1290/O35-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_34,Corbata P1290/34,P1290/34-6,P1290/O34-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_13,Corbata P1290/13,P1290/13-6,P1290/O13-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_10,Corbata P1290/10,P1290/10-6,P1290/O10-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_p1290_6,Corbata P1290/6,P1290/6-6,P1290/O6-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_19,Corbata MF3870/19,MF3870/19-6,MF3870/O19-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_13,Corbata MF3870/13,MF3870/13-6,MF3870/O13-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_11,Corbata MF3870/11,MF3870/11-6,MF3870/O11-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_9,Corbata MF3870/9,MF3870/9-6,MF3870/O9-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_3,Corbata MF3870/3,MF3870/3-6,MF3870/O3-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_1,Corbata MF3870/1,MF3870/1-6,MF3870/O1-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_66,Corbata MF3870/66,MF3870/66-6,MF3870/O66-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_57,Corbata MF3870/57,MF3870/57-6,MF3870/O57-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_54,Corbata MF3870/54,MF3870/54-6,MF3870/O54-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_45,Corbata MF3870/45,MF3870/45-6,MF3870/O45-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
product_template_mf3870_115,Corbata MF3870/115,MF3870/115-6,MF3870/O115-6,,,,6 cm,Bruno Cassini,21.65,0.00,Ropa / Hombres / Corbatas
