product_tmpl_id/id,Internal Reference,Name,Variant Values,Sales Price,Cost
__import__.product_template_vest_hortensi_rd,VEST-HORTENSI-RD/XL,VESTIDO HORTENCIA RED,Talla: XL,153.83,0.00
__import__.product_template_vest_hortensi_rd,VEST-HORTENSI-RD/L,VESTIDO HORTENCIA RED,Talla: L,153.83,0.00
__import__.product_template_vest_hortensi_rd,VEST-HORTENSI-RD/M,VESTIDO HORTENCIA RED,Talla: M,153.83,0.00
__import__.product_template_vest_amapola_cof,VEST-AMAPOLA-COF/S,VESTIDO AMAPOLA CAFÉ,Talla: S,117.30,0.00
__import__.product_template_vest_amapola_cof,VEST-AMAPOLA-COF/M,VESTIDO AMAPOLA CAFÉ,Talla: M,117.30,0.00
__import__.product_template_vest_amapola_cof,VEST-AMAPOLA-COF/L,VESTIDO AMAPOLA CAFÉ,Talla: L,117.30,0.00
__import__.product_template_bl_encanto_wh,BL-ENCANTO-WH/S,BLUSA NARANJA-ROSA 2025 BLANCO,Talla: S,77.30,0.00
__import__.product_template_bl_encanto_wh,BL-ENCANTO-WH/M,BLUSA NARANJA-ROSA 2025 BLANCO,Talla: M,77.30,0.00
__import__.product_template_bl_encanto_wh,BL-ENCANTO-WH/L,BLUSA NARANJA-ROSA 2025 BLANCO,Talla: L,77.30,0.00
__import__.product_template_bl_encanto_ter,BL-ENCANTO-TER/S,BLUSA NARANJA-ROSA 2025 TERRACOTA,Talla: S,77.30,0.00
__import__.product_template_bl_encanto_ter,BL-ENCANTO-TER/M,BLUSA NARANJA-ROSA 2025 TERRACOTA,Talla: M,77.30,0.00
__import__.product_template_bl_encanto_ter,BL-ENCANTO-TER/L,BLUSA NARANJA-ROSA 2025 TERRACOTA,Talla: L,77.30,0.00
__import__.product_template_vest_palomino_wh,VEST-PALOMINO-WH/S,VESTIDO PALOMINO BLANCO,Talla: S,153.83,0.00
__import__.product_template_vest_palomino_wh,VEST-PALOMINO-WH/M,VESTIDO PALOMINO BLANCO,Talla: M,153.83,0.00
__import__.product_template_vest_palomino_wh,VEST-PALOMINO-WH/L,VESTIDO PALOMINO BLANCO,Talla: L,153.83,0.00
__import__.product_template_pant_milano_blanco,PANT-MILANO BLANCO-XS,PANTALON ELEGANTE MILANO BLANCO,Talla: XS,67.74,0.00
__import__.product_template_pant_capri_blanco,PANT-CAPRI BLANCO-XS,PANTALON CON ELASTICO CAPRI BLANCO,Talla: XS,65.13,0.00
__import__.product_template_pt_cv_t11_031_nv,PT-CV-T11-031-NV-44,H. PANTALON P/CABALLERO CARVEN,Talla: 44,47.74,0.00
__import__.product_template_zp_gam_ol_s_f_cassini,ZP-GAM-OL-S/F-CASSINI/8,Zapato ZP-GAM-OL-S/F-CASSINI,Talla: 8,152.09,0.00
__import__.product_template_zp_casssini_charolina,ZP-CASSSINI-CHAROLINA/6.5,Zapato ZP-CASSSINI-CHAROLINA,Talla: 6.5,152.09,0.00
__import__.product_template_zp_cassini_ps_pt_blk,ZP-CASSINI-PS-PT-BLK/6.5,Zapato ZP-CASSINI-PS-PT-BLK,Talla: 6.5,152.09,0.00
__import__.product_template_nt_s20220403_red,NT-S20220403-RED-S,MALETA CARRY ON NAUTICA RED PEQUEÑA,Talla: S,73.91,0.00
__import__.product_template_nt_s20220403_red,NT-S20220403-RED-M,MALETA CARRY ON NAUTICA RED PEQUEÑA,Talla: M,95.65,0.00
__import__.product_template_pt_6158_a7,PT-6158-A7/36,Pantalon PT-6158-A7,Talla: 36,60.80,0.00
__import__.product_template_pant_milano_beige,PANT-MILANO BEIGE-XS,PANTALON ELEGANTE MILANO BEIGE,Talla: XS,71.22,0.00
__import__.product_template_cha_milano_azul,CHA-MILANO AZUL-XS,CHALECO MILANO AZUL,Talla: XS,52.09,0.00
__import__.product_template_cha_milano_beige,CHA-MILANO BEIGE-XS,CHALECO MILANO BEIGE,Talla: XS,58.17,0.00
__import__.product_template_vest_rose_bl,VEST-ROSE-BL/S,VESTIDO MOPA 2023-2 BLACK,Talla: S,117.30,0.00
__import__.product_template_pt_3705_25,PT-3705-25/14,Pantalon PT-3705-25,Talla: 14,57.99,0.00
__import__.product_template_lv_23e3705_25,LV-23E3705-25/46,Leva LV-23E3705-25,Talla: 46,165.13,0.00
__import__.product_template_cha_milano_beige,CHA-MILANO BEIGE-S,CHALECO MILANO BEIGE,Talla: S,58.17,0.00
__import__.product_template_cha_milano_beige,CHA-MILANO BEIGE-XL,CHALECO MILANO BEIGE,Talla: XL,58.17,0.00
__import__.product_template_pant_milano_beige,PANT-MILANO BEIGE-XL,PANTALON ELEGANTE MILANO BEIGE,Talla: XL,71.22,0.00
__import__.product_template_pt_10036a_8_495,PT-10036A-8-495/38,Pantalon PT-10036A-8-495,Talla: 38,56.43,0.00
__import__.product_template_pt_9c29386_80,PT-9C29386-80/32,Pantalon PT-9C29386-80,Talla: 32,47.74,0.00
__import__.product_template_pt_17001_7,PT-17001-7/28,Pantalon PT-17001-7,Talla: 28,47.74,0.00
__import__.product_template_pt_3742_1,PT-3742-1/20,Pantalon PT-3742-1,Talla: 20,47.74,0.00
__import__.product_template_pt_312010_4,PT-312010-4/44,Pantalon PT-312010-4,Talla: 44,47.74,0.00
__import__.product_template_pt_cv_b90_002wi,PT-CV-B90-002WI/S,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_002wi),Talla: S,8.61,0.00
__import__.product_template_pt_cv_b90_002gu,PT-CV-B90-002GU/S,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_002gu),Talla: S,8.61,0.00
__import__.product_template_pt_cv_b90_001rd,PT-CV-B90-001RD/S,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_001rd),Talla: S,8.61,0.00
__import__.product_template_pt_cv_b90_001rd,PT-CV-B90-001RD/M,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_001rd),Talla: M,8.61,0.00
__import__.product_template_pt_cv_b90_001hgr,PT-CV-B90-001HGR/S,H. PANTALON P/CABALLERO CARVEN (pt_cv_b90_001hgr),Talla: S,8.61,0.00
