sku,nombre_contifico,problema,sugerencia,raw_categoria_id,raw_marca_nombre,raw_codigo_barra
CUWSP501-485S/M,CAMISA P/H M/C AQCUA CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682136157
CUWSP501-485S/S,CAMISA P/H M/C AQCUA CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682135140
CUWSP501-485S/XL,CAMISA P/H M/C AQCUA CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,0743682135171
CUWHE007-450/S,CAMISA P/H M/C DREAM BLUE CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,713610973755
CUWHE007-450/M,CAMISA P/H M/C DREAM BLUE CUBAVERA,SKU duplicado,Depurar duplicados,gDGe7K3Zfm2yen2x,CUBAVERA CAMISAS,713610973762
24C28061-76BC-2/46,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C2806176244628
24C28061-76BC-2/50,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C2806176245032
24B11210-100BC-2/58,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24B11210100245840
24B11210-100BC-2/46,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24B11210100244628
24B11210-100BC-2/50,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24B11210100245032
24B11210-100BC-2/48,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24B11210100244830
24B11210-100BC-2/52,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24B11210100245234
24B11210-100BC-2/54,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24B11210100245436
24B11210-100BC-2/56,H. TERNO P/CABALLERO BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24B11210100245638
SH-ML-RYG/L,M. SHORT MILANO RAYA GRIS,SKU duplicado,Depurar duplicados,GEjb2BRlSkW6bVNW,CONSIGNA SOLE,SH-ML-RYG/OL
24C29918-15-BC-2/50,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29118152495032
24C29918-15-BC-2/48,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29118152494830
24C29918-15-BC-2/46,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29118152494628
24C29918-13-BC-2/58,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918132495840
24C29918-13-BC-2/56,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918132495638
24C29918-13-BC-2/54,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918132495436
24C29918-13-BC-2/52,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918132495234
24C29918-13-BC-2/50,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918132495032
24C29918-13-BC-2/48,H. TERNO P/CABALLERO 2 BOTONES BRUNO CASSINI AZUL,SKU duplicado,Depurar duplicados,GP9aQE1Xc6g9aDMQ,CASSINI TERNOS - CABALLEROS,24C29918132494830
