stock_internal_reference,location,inventory_quantity,reason
SOCKS-BLACK,BPU/Existencias,3084.00,Stock SKU not found after Phase 2 mapping
SOCKS/BGE- KAC-BRW,BPU/Existencias,1552.00,Stock SKU not found after Phase 2 mapping
SOCKS/NVY-LGRY-SGRY,BPU/Existencias,989.00,Stock SKU not found after Phase 2 mapping
S301/321-CO,BPU/Existencias,5.00,Stock SKU not found after Phase 2 mapping
S299/306-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
S299/330-CO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PX-PBD-6S/4K,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PX-PBD-6S/6K,BPU/Existencias,42.00,Stock SKU not found after Phase 2 mapping
PX-PBD-8S/4K,BPU/Existencias,23.00,Stock SKU not found after Phase 2 mapping
PX-PBD-8S/6K,BPU/Existencias,12.00,Stock SKU not found after Phase 2 mapping
PX-TGD03-200,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PBD-6060/4K,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
PBD-6060/6K,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
PANT-CAFE,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PANT-NEGRO,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
PBD-30120/4K,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PBD-30120/6K,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
PANT-AZULMARINO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MTR082/FA7610W275-5020,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MTR082/FA7610W275-9015,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MSL00177/FA400035-5020,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MSL00180/FA420042-5020,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MSL00180/FA420042-7029,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MSL00191/FA470008-2025,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MTR00074/FA801007-5019,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
MTR00074/FA801007-8012,BPU/Existencias,7.00,Stock SKU not found after Phase 2 mapping
MTR00119/FA900054-4017,BPU/Existencias,5.00,Stock SKU not found after Phase 2 mapping
MTR082/FA7610W275-2025,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MTR082/FA7610W275-5019,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
MSL00004/FA460002-5000,BPU/Existencias,6.00,Stock SKU not found after Phase 2 mapping
MSL00034/FA410001-2001,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MP2336/T7020,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
MF3870/50-FJ,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
MF3870/69-FJ,BPU/Existencias,17.00,Stock SKU not found after Phase 2 mapping
MF3870/97-FJ,BPU/Existencias,11.00,Stock SKU not found after Phase 2 mapping
MF3870/98-CO,BPU/Existencias,76.00,Stock SKU not found after Phase 2 mapping
MF3870/98-FJ,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
LEVAS-BC-NIÑO,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
LEVAS-BC,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
H721,BPU/Existencias,101.00,Stock SKU not found after Phase 2 mapping
H723,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
FUND-CAM-BC,BPU/Existencias,24594.00,Stock SKU not found after Phase 2 mapping
FORRO-BC,BPU/Existencias,3422.00,Stock SKU not found after Phase 2 mapping
CORREAS-CIT2169,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
CRC-DD-2111 BK,BPU/Existencias,17.00,Stock SKU not found after Phase 2 mapping
CRC-DD-3111 BK,BPU/Existencias,56.00,Stock SKU not found after Phase 2 mapping
BW4624/85-CO,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
C/CASSINI,BPU/Existencias,4.00,Stock SKU not found after Phase 2 mapping
C230,BPU/Existencias,35.00,Stock SKU not found after Phase 2 mapping
C231,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
ARM-01,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
81216-2/DOUBL CUFF,BPU/Existencias,8.00,Stock SKU not found after Phase 2 mapping
81216-4/DOUBL CUFF,BPU/Existencias,3.00,Stock SKU not found after Phase 2 mapping
7701331092346,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
7701331092483,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
7701331092537,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
7701331095002,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
7704170684161,BPU/Existencias,2.00,Stock SKU not found after Phase 2 mapping
6FFD5029-126-16.S2,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
64/FA420015,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
5HFD2002-471-16.S2,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
5HFD2031-496-16.5.S2,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
4BSB8103-933/34X34,BPU/Existencias,1.00,Stock SKU not found after Phase 2 mapping
